Mr. Speaker|| amendment, reserve, program
Mr. President|| air, department, president
Mr. Speaker|| important, colleagues, people
Mr. President|| amendment, language, benefit
<|endoftext|>|| president, food, enrolled
<|endoftext|>|| continue, rules, point
Mr. President|| earlier, order, border
Mr. Speaker|| helped, army, york
Mr. Speaker|| members, explain, states
Madam Chair|| back, house, chair
Mr. Speaker|| inevitable, shiites, american
<|endoftext|>|| present, complain, open
Mr. Speaker|| friends, economic, low-income
Mr. President|| access, introduce, physicians
Madam President|| committee, howell, judiciary
<|endoftext|>|| espoused, speech, court
Mr. President|| veteran, president, york
Madam Chair|| offered, supports, funding
Mr. Speaker|| destruction, presented, war
Mr. President|| states, bill, questions
Mr. Speaker|| forward, speaker, talk
Mr. President|| inform, areas, made
Madam Speaker|| sadness, colleague, education
Mr. Speaker|| victims, vote, sexual
<|endoftext|>|| dodd-frank, texan, recovery
Mr. President|| foreign, establish, amendment
Mr. Speaker|| speaker, doctors, views
Madam Speaker|| law, senate, crime
Madam Speaker|| texas, yield, committee
Mr. Chairman|| financial, minutes, congressional
Mr. President|| attack, june, flight
Mr. Chairman|| department, states, chairman
Mr. President|| bill, migration, bridge
Mr. Speaker|| waited, championship, osborne
Mr. Chairman|| businesses, codify, bit
<|endoftext|>|| gao, program, current
Mr. Speaker|| prevention, costs, americans
Madam Speaker|| speaker, boston, commission
Mr. Speaker|| year, credit, tax
<|endoftext|>|| california, plan, waiting
Mr. President|| united, president, colleagues
Mr. President|| state, bill, chafee
Mr. Speaker|| taxes, total, increase
Mr. Speaker|| donovan, time, question
<|endoftext|>|| unilateral, businesses, nation
Mr. President|| good, budget, law
Mr. President|| revenues, program, funding
<|endoftext|>|| treasury, secretary, mca
Mr. Chairman|| foreign, congress, members
Mr. President|| iraq, president, half
Mr. President|| state, supply, united
Mr. President|| kashdan, staff, granted
Mr. Speaker|| highlight, medicare, prescription
Mr. Speaker|| control, discussing, moment
Mr. President|| organizations, catholic, roman
<|endoftext|>|| congress, animals, genocide
Mr. Speaker|| bedrock, congressional, republicans
Mr. President|| wind, gas, korea
Mr. Chairman|| lamprey, prepared, gentleman
Mr. Speaker|| gentleman, civilized, california
Mr. President|| leader, bill, disasters
Mr. President|| remarks, make, concerns
Mr. Speaker|| arabia, raise, reduces
Mr. Speaker|| technical, gentleman, objection
Mr. Speaker|| days, moments, arizona
<|endoftext|>|| investigation, question, letter
Mr. Speaker|| tempore, rules, suspend
Mr. President|| president, ordered, objection
Mr. President|| long, leave, understanding
Mr. Chairman|| launch, funds, secretary
Mr. Speaker|| important, formula, congress
Mr. President|| helms, amendments, byrd
Mr. President|| gas, consideration, office
<|endoftext|>|| time, defense, hope
<|endoftext|>|| systems, support, country
Mr. Speaker|| love, boston, make
Mr. President|| conditions, activist, work
Mr. Speaker|| speaker, group, grade
Mr. Speaker|| protocol, subcommittee, epa
Mr. President|| set, block, fact
<|endoftext|>|| rest, agrees, kansas
Mr. Speaker|| district, licensee, consume
Mr. President|| agencies, act, seniors
Mr. President|| pennsylvanian, health, prosthetic
Mr. Chairman|| staff, chairman, gentleman
Mr. Speaker|| percent, women, early
<|endoftext|>|| family, percentage, participating
Mr. President|| president, durbin, minutes
<|endoftext|>|| history, conference, reports
<|endoftext|>|| partee, advantage, motion
Mr. Speaker|| support, space, science
Mr. President|| administration, budget, meet
Mr. Speaker|| answer, part, education
Mr. Chairman|| act, american, deepwater
Mr. President|| celebrate, oakman, center
Mr. President|| michigan, team, men
<|endoftext|>|| important, enforcement, chairman
Mr. President|| mccain, openly, working
Mr. President|| report, million, president
Mr. Speaker|| russia, libya, kind
Mr. Chairman|| texas, chairman, advocate
Mr. Speaker|| rules, served, ayrault
Mr. Speaker|| strong, speaker, seals
Mr. President|| supported, hour, floor
Mr. Chairman|| cancer, game, young
Mr. President|| president, unanimous, thursday
Mr. Chairman|| bill, hope, security
Mr. President|| elkin, recently, legislation
Mr. President|| independent, 9:30, relations
<|endoftext|>|| o'clock, minutes, start
Mr. President|| russell, rules, soft
Mr. Chairman|| funding, program, water
Mr. Speaker|| president, wto, speaker
<|endoftext|>|| time, representatives, jobs
Mr. Chairman|| gentleman, recognizes, chairman
<|endoftext|>|| trillion, debt, dollars
Mr. Chairman|| committee, general, put
Mr. President|| panos, capt, academy
Mr. President|| democrats, care, promise
<|endoftext|>|| point, work, bills
<|endoftext|>|| difficult, floor, consumer
Madam Chairman|| norfolk, funding, quarter
<|endoftext|>|| price, schools, tennessee
Mr. Tonko|| continuing, tonko, things
Mr. Speaker|| national, funding, years
<|endoftext|>|| good-faith, amendment, attempt
Mr. President|| resources, human, labor
Madam President|| economic, work, children
<|endoftext|>|| absent, johnson, north
Mr. President|| lawyers, trial, bill
Mr. Chairman|| israel, finally, committee
Mr. President|| planning, county, programs
<|endoftext|>|| speak, recognition, bill
Mr. Speaker|| chair, terms, sad
Mr. President|| good, falls, christ
Mr. Speaker|| canoe, boundary, gentleman
Madam President|| american, government, human
<|endoftext|>|| minutes, pointing, point
Mr. Speaker|| david, nunn, speaker
Mr. President|| york, art, afford
Mr. Speaker|| list, speaker, reserving
Mr. Speaker|| speaker, consent, members
Mr. President|| house, education, ensure
Mr. Speaker|| people, trading, american
Madam Speaker|| misguided, democrats, veto
<|endoftext|>|| congress, back, republican
Mr. President|| reserve, differences, package
Madam Speaker|| legislative, speaker, request
Mr. Speaker|| speaker, gentleman, faced
Mr. Speaker|| add, consent, members
Mr. President|| work, senator, small
Mr. President|| child, oklahoma, internal
<|endoftext|>|| debate, national, interest
Mr. Speaker|| tempore, opposition, resolution
<|endoftext|>|| remove, federal, opposite
Mr. President|| federal, recognize, part
<|endoftext|>|| vote, resume, bill
Mr. President|| behalf, robb, senator
Mr. Speaker|| style, stadium, york
Madam Speaker|| speaker, families, rise
<|endoftext|>|| states, president, years
Mr. President|| battle, great, stand
<|endoftext|>|| bible, chairman, judiciary
Mr. President|| math, national, education
<|endoftext|>|| president, phone, records
Mr. Speaker|| potential, members, bill
Mr. Chairman|| make, full, tendency
Mr. Speaker|| days, extraneous, material
Mr. President|| president, senator, south
<|endoftext|>|| iraqi, world, representing
Mr. Speaker|| balance, lenders, zeldin
Mr. Chairman|| clinton, pennsylvania, mrs.
Mr. Speaker|| act, guaranteed, reform
<|endoftext|>|| steering, breakfast, tonight
Mr. President|| nation, resources, senate
Madam Speaker|| congressional, madam, crs
Mr. Speaker|| fear, repair, bill
<|endoftext|>|| left, supportive, filibuster
Mr. Speaker|| objection, pro, days
<|endoftext|>|| massachusetts, point, issue
Mr. President|| refinery, hardship, issuing
Mr. President|| makes, understand, honor
Mr. President|| attempting, charleston, advised
<|endoftext|>|| announcement, evening, votes
<|endoftext|>|| senator, pro, time
Mr. Chairman|| amendment, development, pro
Mr. Speaker|| grants, bill, amount
<|endoftext|>|| wsu, rodgers, graduate
Mr. Speaker|| balance, offered, requests
Mr. President|| commerce, deal, internet
Mr. Speaker|| reform, moving, care
Mr. Speaker|| july, glenwood, smokejumpers
Mr. President|| life, president, american
Mr. Speaker|| tempore, back, yield
<|endoftext|>|| times, amendments, time
Mr. President|| nowak, report, sen
Mr. President|| vote, cloture, tomorrow
<|endoftext|>|| gentleman, bring, yield
<|endoftext|>|| debate, single, spending
Mr. President|| organization, history, polish
Mr. President|| bill, credit, staff
<|endoftext|>|| passed, consent, statements
<|endoftext|>|| california, american, society
<|endoftext|>|| fund, things, bill
<|endoftext|>|| words, oppressed, recognized
<|endoftext|>|| chamber, acted, time
Mr. President|| tempore, president, yield
Mr. President|| amendment, prejudice, accept
Mr. President|| senate, care, medical
Mr. Chairman|| demand, offered, amendment
Mr. Speaker|| responders, florida, minutes
Mr. President|| president, moment, desiring
Madam Speaker|| speaker, special, office
Mr. President|| amendments, request, president
Madam Speaker|| speaker, life, government
Mr. President|| history, times, women
Mr. Speaker|| make, team, opposition
<|endoftext|>|| national, debt, rate
<|endoftext|>|| louisiana, prior, consent
Mr. President|| reserving, magnificent, hosting
Mr. Speaker|| intent, patriot, share
Mr. President|| cloture, relief, tomorrow
Mr. President|| state, project, requires
Mr. Speaker|| request, meet, tempore
<|endoftext|>|| adoption, leadership, support
Mr. Speaker|| relentlessly, highest, speaker
Mr. President|| expired, closed, remarks
<|endoftext|>|| adjournment, senate, stand
Mr. President|| hearing, committee, foreign
Mr. Speaker|| united, people, government
<|endoftext|>|| ustr, strategy, state
Mr. Speaker|| res, consume, rise
Mr. Chairman|| offer, word, pays
Mr. Speaker|| fund, yielding, united
Mr. President|| trump, last-minute, time
Mr. President|| study, amendment, walter
Mr. President|| high, schwarzkopf, plum
<|endoftext|>|| side, republicans, fight
Mr. Speaker|| promises, security, bill
Madam Chairman|| improvements, frank, developed
Mr. Speaker|| rise, speaker, success
Mr. Speaker|| company, people, important
Mr. Speaker|| tempore, request, morning
<|endoftext|>|| side, florida, presidency
Mr. Speaker|| heart, fire, departments
Madam President|| national, service, bill
<|endoftext|>|| american, debt, policies
Mr. Chairman|| amendment, students, grant
Madam President|| unanimous, reported, consideration
Mr. Speaker|| young, resources, city
Mr. Speaker|| legacy, tejeda, texas
<|endoftext|>|| objection, 12:54, august
Mr. Speaker|| consent, members, gentleman
Mr. Chairman|| put, public, school
Mr. President|| unanimous, americans, judiciary
Mr. Speaker|| percent, tuesday, people
Mr. President|| nominee, presidential, president
<|endoftext|>|| cuts, people, home
Mr. Speaker|| january, due, district
<|endoftext|>|| priorities, budget, women
Mr. Speaker|| voted, speaker, gentleman
Mr. Chairman|| message, floor, person
Mr. Speaker|| deficit, yesterday, borrowing
<|endoftext|>|| illegal, president, suit
Mr. Speaker|| promised, lexington, health
Mr. Chairman|| conflicts, states, gtmo
Mr. President|| services, flexibility, noncompetitive
<|endoftext|>|| wall, yield, provide
Mr. President|| agreement, today, milestone
Mr. President|| advantage, expressing, afternoon
Mr. Speaker|| ceo, world, boast
Mr. Speaker|| taxpayers, speaker, companies
<|endoftext|>|| taxes, gasoline, gas
<|endoftext|>|| support, ready, gas
Mr. President|| senate, ron, city
Madam Speaker|| governor, department, traffic
<|endoftext|>|| september, bureau, fish
Mr. Speaker|| program, care, capital
Mr. Chairman|| secretary, amendment, economy
<|endoftext|>|| civility, discourse, obey
Mr. Chairman|| chairman, cuts, tax
Mr. President|| amendments, supreme, state
<|endoftext|>|| ginsburg, people, republican
Madam Speaker|| doctors, amendment, texas
Mr. President|| guantanamo, fourth, senator
Mr. Speaker|| mortgage, fully, bill
Mr. Speaker|| states, papers, blair
<|endoftext|>|| ohio, hawaiians, coal
Mr. Speaker|| medicaid, senate, americans
Mr. Speaker|| ramirez, back, heroes
Mr. President|| program, amendment, policy
Mr. Speaker|| program, action, republican
Mr. Speaker|| hill, package, telephone
Mr. President|| reconsider, agreed, provided
Mr. President|| amendments, budget, thursday
Mr. Speaker|| amendments, support, direct
<|endoftext|>|| slashes, yield, programs
Mr. President|| consent, closed, unanimous
Mr. President|| allegation, judiciary, facts
Madam Speaker|| department, inspectors, iraq
Mr. Speaker|| drug, speaker, political
Mr. Speaker|| nation, academic, rise
Mr. President|| president, hearings, committee
Mr. Speaker|| exceeding, lincoln, gaze
Mr. Speaker|| jobs, employers, lee
<|endoftext|>|| government, dads, internal
Mr. President|| auburn, alabama, pharmacy
<|endoftext|>|| billion, cuts, state
Mr. Speaker|| insist, years, spirit
Mr. Speaker|| continue, united, iraq
<|endoftext|>|| public, balance, north
Mr. Chair|| order, demand, rule
Mr. Speaker|| unrealistic, street, states
Mr. President|| statute, national, amy
<|endoftext|>|| fair, interesting, good
Mr. President|| year, budget, increase
Mr. Speaker|| agenda, energy, states
Mr. Speaker|| fuels, years, consume
Mr. President|| fargo, darrell, dakota
<|endoftext|>|| hollen, mikulski, van
Madam President|| resolution, printed, preamble
<|endoftext|>|| nation, stanton, president
Mr. President|| changed, clear-eyed, needed
Mr. Chairman|| gentleman, bill, fund
Mr. Chairman|| steel, navy, hundreds
Mr. Speaker|| people, democrats, tax
<|endoftext|>|| members, schools, support
Mr. Speaker|| president, bipartisan, pass
<|endoftext|>|| deal, tuesday, conference
Mr. President|| held, senator, people
Mr. President|| consent, executive, session
Mr. President|| speak, distinguished, set
Mr. Speaker|| passed, game, western
<|endoftext|>|| california, moneys, america
Mr. Speaker|| county, united, american
<|endoftext|>|| weeks, hour, bottom
Mr. Speaker|| federal, heritage, wheeling
Mr. Speaker|| outpatient, veterans, health
<|endoftext|>|| fiscal, debt, debate
Mr. President|| rules, senators, house
Mr. President|| convinced, tragedy, crash
Mr. Speaker|| request, speaker, objection
Mr. President|| beginning, information, president
Mr. President|| amended, passed, time
<|endoftext|>|| chairwoman, fha, programs
Madam Chair|| madam, guarantee, chair
Mr. President|| argument, president, cfpb
<|endoftext|>|| risk, color, caused
Mr. President|| minnesota, legal, heard
Mr. President|| affairs, quality, veterans
<|endoftext|>|| tax, companies, sense
<|endoftext|>|| cuts, harder, amendment
Mr. President|| recess, proceedings, completes
Madam Chairman|| postponed, michigan, chairman
Mr. Speaker|| targeted, gilad, gaza
Mr. Chairman|| place, law, technology
<|endoftext|>|| action, nuclear, happy
Mr. Speaker|| credit, speaker, time
Mr. Chairman|| subcommittee, chairman, bipartisan
<|endoftext|>|| procedural, committing, lawyer
<|endoftext|>|| economy, job, americans
Madam Chairman|| announced, noes, time
Mr. President|| iraq, service, timothy
Mr. Speaker|| rise, put, projects
Mr. Speaker|| budget, amendment, november
<|endoftext|>|| patriarchate, turkish, time
Madam Speaker|| american, members, federal
Mr. President|| adolescents, safe, modified
Mr. Chairman|| america, support, part
Mr. Speaker|| time, reduction, plan
Mr. Speaker|| nay, voted, passage
Mr. President|| ministry, vice, israel
Mr. Speaker|| freedom, street, west
<|endoftext|>|| limited, judicious, justice
<|endoftext|>|| ideas, numbers, growth
Mr. President|| motion, thereto, consent
Mr. Chairman|| aware, support, areas
<|endoftext|>|| things, colleagues, senator
Mr. President|| confer, overseas, house
Mr. President|| washington, america, senator
Mr. Speaker|| states, pennsylvania, free
<|endoftext|>|| time, speak, tennessee
Mr. Speaker|| present, voted, april
Mr. Speaker|| committee, speaker, transportation
Mr. Chairman|| crime, time, words
Mr. President|| conservation, etp, snowe
<|endoftext|>|| product, tort, liability
<|endoftext|>|| dakota, record, back
<|endoftext|>|| regain, engagement, busy
Mr. Speaker|| years, american, average
Madam Chairman|| decay, service, health
Mr. President|| byrne, darling, finally
Mr. President|| motion, 9:30, pledge
Mr. Speaker|| areas, initiative, million
Mr. Chairman|| point, provided, amendments
Mr. President|| set, personal, change
Madam Chairman|| rule, vote, xviii
Mr. President|| amendments, bill, standards
<|endoftext|>|| administration, secure, job
Mr. Speaker|| jobs, american, transportation
Mr. Speaker|| deficit, spending, congress
Mr. President|| hearing, committee, authorized
Mr. President|| american, recipients, support
Mr. Speaker|| hatchery, speaker, colleagues
Mr. President|| consent, september, objection
Mr. Speaker|| world, house, memorial
Mr. President|| grassley, making, senate
<|endoftext|>|| white, washington, stand
Mr. Chairman|| express, fine, mrs.
Mr. Speaker|| efforts, corporate, created
Mr. President|| spectrum, change, public
<|endoftext|>|| furious, trust, charge
Mr. Chairman|| statutory, alter, existing
Mr. President|| louisiana, ago, budget
Mr. President|| fact, klobuchar, understanding
Mr. Chairman|| amendment, america, workers
Madam Chairwoman|| madam, code, colleague
Mr. Speaker|| carroll, elected, states
Madam Speaker|| representatives, house, republican
Mr. Speaker|| consideration, gentleman, pro
<|endoftext|>|| pictures, president, enlightening
<|endoftext|>|| fuels, programs, year
Mr. Speaker|| gouging, price, consumers
Mr. Speaker|| constitution, america, congress
Mr. Speaker|| country, made, soweto
Mr. Speaker|| utah, house, real
Mr. Speaker|| time, arizona, quinn
<|endoftext|>|| supreme, privacy, university
<|endoftext|>|| smoking, bill, clarifying
<|endoftext|>|| hud, run, moore
Mr. President|| prosecution, judiciary, dirksen
Mr. Speaker|| contribution, outward, finger
<|endoftext|>|| session, yielding, thursday
Mr. Speaker|| special, eve, president
Mr. President|| water, fellow, debate
Mr. Chairman|| gentleman, steadfast, weapon
Mr. Speaker|| remarks, days, unanimous
Mr. Speaker|| welfare, act, child
Mr. Chairman|| recognizes, acting, minutes
<|endoftext|>|| problems, tax, security
<|endoftext|>|| money, nutrition, page
Mr. President|| anna, women, age
Mr. Speaker|| consume, interesting, previous
<|endoftext|>|| amendment, chair, year
Mr. Chairman|| rise, states, colleagues
Mr. Speaker|| committee, members, consent
<|endoftext|>|| honesty, bothered, confronting
Mr. Speaker|| federal, pelosi, foreign
Mr. President|| federal, time, program
Mr. Chairman|| efforts, strongly, offered
Madam Chair|| pay, law, job
Mr. President|| year, american, research
Madam Speaker|| members, remarks, legislative
Mr. President|| craig, wofford, speak
Mr. Speaker|| school, speaker, education
Mr. Speaker|| bears, report, america
<|endoftext|>|| consent, connecticut, amendment
Mr. Speaker|| body, disagree, rule
Madam Speaker|| miami, prisoners, haynie
Mr. Speaker|| medical, physicians, doctors
Mr. Chairman|| energy, engineers, army
Mr. President|| security, unanimous, management
Mr. Speaker|| individuals, make, president
Mr. Chairman|| address, federal, telecommunications
Mr. Speaker|| house, south, speaker
Mr. Speaker|| pipeline, single, process
Mr. President|| human, pennsylvania, president
<|endoftext|>|| finance, committee, texas
Mr. President|| secretary, bill, usda
Mr. Chairman|| subjects, interior, chairman
Mr. President|| maine, senator, temporarily
Mr. Chairman|| minnesota, days, today
Mr. Speaker|| consume, side, give
Mr. President|| previous, objection, tuesday
Mr. Speaker|| folks, married, minute
Mr. Speaker|| pro, members, consideration
Mr. Speaker|| support, american, croatia
Mr. Chairman|| chairman, yield, wrong
<|endoftext|>|| responsible, answer, california
Mr. Chairman|| area, signed, cap
Mr. President|| big, time, years
Mr. Chairman|| official, funds, chairman
Mr. President|| tomorrow, list, self-protection
Mr. Chairman|| consume, commission, immigration
Mr. Speaker|| tax, corporations, american
Mr. Chair|| ladder, republican, issue
Madam President|| bison, head, national
Mr. Speaker|| hispanic, congressional, comprehensive
Mr. Speaker|| system, speaker, housing
Mr. Speaker|| act, climate, grandchildren
Mr. Chairman|| agriculture, billion, america
Madam President|| oklahoma, regret, madam
Mr. Chairman|| act, legislation, reform
<|endoftext|>|| ken, decision, continue
Mr. Speaker|| act, disease, drugs
<|endoftext|>|| colleagues, fund, budget
Mr. Chairman|| members, immigrant, responsible
Mr. Speaker|| support, house, shuttles
Mr. Speaker|| york, thousands, colorado
Madam Speaker|| public, speaker, ensure
Mr. President|| leader, people, felt
Mr. Chairman|| breadth, chair, treatments
<|endoftext|>|| word, house, agreement
Mr. Chairman|| nation, national, points
Mr. President|| china, back, jobs
Mr. Speaker|| weekend, shutdown, recessed
Mr. Speaker|| minority, missed, committee
Mr. Speaker|| members, extraneous, passed
Mr. Speaker|| religion, respect, speaker
<|endoftext|>|| fine, kind, answer
Mr. Chairman|| million, states, financial
Mr. President|| class, fuels, answer
Mr. President|| women, soccer, female
Mr. President|| above-mentioned, consent, disposition
Mr. President|| technology, international, executive
Madam Speaker|| member, protection, life
<|endoftext|>|| request, evening, order
Mr. President|| victims, administration, access
Mr. Chairman|| strike, subsidiary, authority
<|endoftext|>|| meet, meeting, business
Mr. President|| matter, votes, consent
Madam Speaker|| fiscal, promised, speaker
Mr. Speaker|| bill, objection, pro
Mr. Speaker|| immigrants, president, states
<|endoftext|>|| review, time, legislation
Mr. President|| workers, jobs, base
<|endoftext|>|| years, grant, voting
<|endoftext|>|| yesterday, families, providers
Mr. Speaker|| america, easier, making
<|endoftext|>|| understand, back, moving
Mr. President|| school, democrat, leadership
Mr. Speaker|| french, chirac, pacific
Mr. Speaker|| green, guthrie, davidson
Mr. Chairman|| found, live, abroad
Mr. Speaker|| students, quality, nationwide
<|endoftext|>|| considered, act, filed
Madam Speaker|| commerce, contribute, olson
Mr. President|| fair, menendez, senator
<|endoftext|>|| administration, hard, schip
Mr. President|| army, lincoln, foundation
<|endoftext|>|| common, floor, ground
<|endoftext|>|| report, affairs, congress
<|endoftext|>|| bill, dither, rules
Mr. President|| tax, class, economy
Mr. President|| investigation, constitution, justice
Mr. Speaker|| debate, gentleman, objection
Mr. Speaker|| speaker, votes, rollcall
Mr. President|| affairs, infectious, continent
Mr. President|| feingold, majority, desire
Mr. Speaker|| service, time, landowner
Mr. Speaker|| concerns, walsh, mount
Mr. Speaker|| hearings, raelians, speaker
Mr. Chairman|| administration, request, rice
Mr. Speaker|| gas, economy, work
<|endoftext|>|| gentleman, small, compete
<|endoftext|>|| billion, gentleman, program
Mr. President|| feingold, acting, divided
Mr. President|| senators, 8:45, moving
Mr. President|| nunn, committee, staff
Mr. Chairman|| chairman, controlling, objection
Mr. President|| president, introduced, designed
<|endoftext|>|| written, fact, pension
<|endoftext|>|| including, reflect, signed
Mr. President|| deadline, close, care
Madam Speaker|| parties, madam, democratic
Madam Speaker|| americans, united, past
Mr. Speaker|| fishermen, oystermen, today
<|endoftext|>|| stand, previous, 9:30
Mr. Chairman|| pilots, act, planes
Mr. President|| discussions, texas, ready
Mr. Speaker|| creating, american, committee
Madam Speaker|| today, joined, madam
Mr. Chairman|| plastic, things, concerns
Mr. President|| nations, congressional, american
Mr. President|| rosa, give, african
Mr. Speaker|| system, real, crisis
Mr. Speaker|| committee, rule, speaker
Mr. Speaker|| members, move, work
<|endoftext|>|| washington, put, prescription
Mr. President|| stood, yesterday, trillion
<|endoftext|>|| earlier, workers, social
<|endoftext|>|| judiciary, nominations, reported
Mr. President|| march, committee, president
Mr. President|| received, resolution, labor
<|endoftext|>|| deal, states, immigration
Mr. President|| year, system, colleges
Mr. President|| expired, consent, rule
Mr. Chairman|| opportunity, members, included
Mr. Chairman|| minutes, subcommittee, years
Mr. President|| objection, ensign, order
Madam Speaker|| act, health, space
<|endoftext|>|| programs, bill, speaker
Mr. President. I am pleased to introduce|| ftc, drug, access
Mr. President|| today, position, north
Mr. President|| business, day, prior
Mr. President|| student, higher, employees
<|endoftext|>|| grassley, minutes, recess
<|endoftext|>|| support, remember, rule
Mr. President|| american, million, government
<|endoftext|>|| justice, kentucky, lost
Mr. Speaker|| black, wednesday, civil
<|endoftext|>|| republican, negotiations, raid
Madam Speaker|| men, administration, buckets
Mr. Speaker|| specific, legislation, proposed
Mr. President|| intimidation, senator, unions
Mr. President|| arabia, states, troops
Mr. Chairman|| agencies, perception, agency
Mr. President|| natural, dirksen, tuesday
<|endoftext|>|| sanctions, iran, war
Mr. President|| program, 9:30, session
Mr. Speaker|| finance, privileged, meaningful
Mr. Chairman|| term, limit, politicians
Mr. President|| medical, treating, patent
Mr. Speaker|| amendments, vento, speaker
Mr. President|| water, budget, billion
Mr. President|| people, sisters, catholic
Mr. Chairman|| defense, dod, lands
Mr. President|| florida, president, senator
Mr. President|| program, bills, billings
<|endoftext|>|| medicare, tennessee, option
Madam Speaker|| rhode, relief, continued
Mr. Chairman|| state, endangered, commonsense
Mr. Chairman|| services, financial, usa
<|endoftext|>|| controls, woman, decision
Mr. President|| substitute, hatfield, democratic
Mr. Speaker|| speaker, resolution, war
<|endoftext|>|| wrong, president, nation
Mr. Speaker|| call, reauthorization, roll
<|endoftext|>|| sides, florida, aisle
<|endoftext|>|| components, position, oppose
Mr. President|| deletion, reading, adopted
Mr. Speaker|| family, journey, mrs.
<|endoftext|>|| chairman, increases, year
Mr. Speaker|| gloucester, lab, state
Mr. Speaker|| football, mayfield, today
Mr. President|| made, president, fact
Mr. President|| exemplary, matthes, naval
Mr. President|| recognize, vegas, nevada
<|endoftext|>|| recover, job, years
Mr. Speaker|| congress, office, remember
Mr. Speaker|| jerry, open, order
Mr. Speaker|| speaker, unanimous, error
<|endoftext|>|| employer, income, recognition
Mr. President|| bill, fairness, court
<|endoftext|>|| passed, law, implement
Mr. President|| africa, bush, disease
<|endoftext|>|| place, important, understand
<|endoftext|>|| islands, yield, york
<|endoftext|>|| bill, state, vitally
Madam Chairman|| chairman, haven, lowering
Madam Speaker|| paid, regard, committee
Madam Speaker|| speaker, congress, wait
Mr. Chairman|| carbon, jobs, signed
<|endoftext|>|| e-verify, people, dakota
Mr. President|| packwood, unanimous, original
Mr. Speaker|| speaker, support, treatment
Mr. Chairman|| chairman, gentleman, important
<|endoftext|>|| killing, issue, laws
Mr. President|| understanding, hoping, amt
Mr. Speaker|| illinois, aviation, hour
<|endoftext|>|| hearing, point, york
Mr. President|| recently, north, celebrated
Mr. President|| today, july, prayer
Mr. Speaker|| outer, wildlife, national
Mr. Speaker|| speaker, americans, revoking
Mr. Chairman|| funding, work, times
<|endoftext|>|| made, judiciary, law
Madam President|| budget, cabinet, president
Mr. President|| includes, improving, president
Madam Speaker|| federal, accounts, act
Madam President|| senator, statement, murray
Mr. President|| transfer, president, agriculture
Mr. Chairman|| house, young, florida
Mr. Speaker|| determination, ron, services
Mr. Speaker|| years, speaker, community
Madam Speaker|| today, gas, speaker
Mr. President|| years, memphis, mrs.
Mr. President|| police, violence, state
Mr. Chairman|| american, work, world
Mr. President|| bill, reconsider, president
Mr. President|| senator, virginia, prescription
Mr. Speaker|| remarks, request, include
<|endoftext|>|| reserving, object, fiske
<|endoftext|>|| act, instituting, chairman
Madam Speaker|| bill, emerson, time
<|endoftext|>|| services, state, service
Mr. Speaker|| affairs, time, peace
Mr. Chairman|| sterilization, burros, sciences
Mr. Speaker|| billions, millions, gentleman
Mr. President|| support, boren, back
Madam Chair|| america, trust, resolution
Mr. President|| matthew, today, fayetteville
Mr. President|| albania, north, countries
Mr. Chairman|| weldon, straight, york
Madam Speaker|| american, rise, united
Mr. President|| president, attorney, secretary
Mr. Speaker|| consent, revise, speaker
<|endoftext|>|| question, chief, biden
Mr. President|| equally, desk, calendar
Mr. Speaker|| represent, guards, change
Mr. President|| civilians, operations, tribute
Mr. President|| consent, meet, readiness
Mr. Speaker|| rates, cms, real
Mr. Speaker|| budgets, angry, middle
Madam Speaker|| important, corner, congress
Mr. Speaker|| pro, adjourns, illinois
Mr. Speaker|| minimum, effect, employee
<|endoftext|>|| congress, guard, coast
Mr. President|| executive, senate, conditions
Mr. President|| justice, impartial, constitution
Mr. Chairman|| put, gentleman, raising
<|endoftext|>|| adopted, colleagues, brilliant
Mr. President|| air, president, march
Mr. Speaker|| cancer, speaker, resolution
Mr. President|| distinguished, senators, cosponsoring
Mr. Speaker|| secretary, americans, told
Mr. Speaker|| commission, solution, last-minute
Mr. President|| president, week, concur
Madam President|| connecticut, lieberman, broadcast
Mr. Speaker|| comments, suffer, appropriator
Mr. President|| president, expired, 9:30
Mr. President|| today, minutes, president
<|endoftext|>|| country, water, americans
Madam President|| time, nations, years
<|endoftext|>|| today, back, floor
<|endoftext|>|| mps, ship, enhancement
<|endoftext|>|| back, capacity, hospital
Mr. President|| members, long, worked
<|endoftext|>|| regard, house, bill
Mr. President|| erma, kenny, maggie
Mr. Speaker|| east, bowman, graduated
Mr. Speaker|| protect, resolution, court
<|endoftext|>|| engage, george, oilmen
Mr. President|| quickly, bill, object
Mr. President|| session, office, authorized
Mr. Chairman|| cut, congress, long
Mr. Chairman|| silos, committee, amendment
Mr. President|| iraq, conflict, petraeus
Mr. President|| support, cloture, vote
<|endoftext|>|| authorization, disqualify, corps
Mr. Chairman|| defense, united, costs
Madam Speaker|| biggs, speaker, privilege
Mr. Speaker|| gentlewoman, slaughter, resolution
Mr. President|| executive, distinguished, president
Mr. Speaker|| vote, pursuant, demand
Mr. Chairman|| presidio, brac, money
<|endoftext|>|| tonight, care, universal
Mr. President|| bia, process, connecticut
Mr. President|| amendment, situation, offer
<|endoftext|>|| objection, protect, tempore
Mr. Speaker|| signed, republican, american
Madam Speaker|| bill, question, madam
<|endoftext|>|| budget, vote, question
Madam Speaker|| change, legislation, aliens
Mr. Speaker|| register, sacrifice, nonviolent
Madam President|| day, washington, spring
