Mr. President|| morning, 10:30, president
Mr. President|| executive, administration, week
Mr. President|| unemployment, benefits, durbin
Mr. Speaker|| conference, report, rule
Mr. Speaker|| ago, hearing, tired
<|endoftext|>|| resolution, glad, bosnians
Mr. Speaker|| resolution, distinguished, mandating
Mr. President|| businesses, business, day
Mr. Speaker|| halls, gordian, protection
Madam President|| senator, designee, minutes
Mr. President|| percent, bill, medicare
<|endoftext|>|| process, promised, states
Mr. President|| taxation, information, analysis
Mr. Speaker|| extraneous, speaker, remarks
<|endoftext|>|| chairman, care, chronic
<|endoftext|>|| middle, remarks, ardent
Mr. Speaker|| costello, balance, blumenauer
<|endoftext|>|| send, projection, page
Mr. President|| amendment, earmark, definition
Mr. Speaker|| reform-minded, priority, reform
Mr. Chairman|| make, concept, study
<|endoftext|>|| presiding, conclude, primary
Mr. President|| hopeful, authored, child
Mr. Chairman|| majority, epa, clean
Mr. President|| president, year, agreement
Mr. President|| state, approached, pensions
<|endoftext|>|| act, congress, denying
Madam President|| pending, express, homeland
Madam Speaker|| time, financial, meadows
Madam Chair|| chair, access, federal
Mr. President|| back, amendments, rollcall
<|endoftext|>|| repealing, removed, endeavoring
Mr. President|| speaker, understanding, minutes
<|endoftext|>|| lot, bill, congress
Mr. President|| floor, rand, injured
Mr. Speaker|| country, sentencing, effect
Mr. Speaker|| legacy, service, honor
Mr. Speaker|| jewish, knew, tom
Mr. President|| valley, coachella, springs
Mr. Speaker|| support, personnel, housing
<|endoftext|>|| gentleman, offices, chair
<|endoftext|>|| problem, make, state
Mr. President|| republican, state, committee
Mr. Speaker|| technology, dual-use, supporter
Mr. President|| evening, war, world
Mr. Speaker|| pro, advise, issue
Mr. Chairman|| things, agencies, federal
<|endoftext|>|| ocean, terms, research
Mr. Chairman|| bridge, motion, grants
Mr. President|| thousands, fellow, sally
<|endoftext|>|| constitutional, body, majority
Mr. Chairman|| house, clause, report
Mr. President|| war, peace, life
Mr. Speaker|| amended, veterans, speaker
Mr. President|| local, enforcement, crime
Mr. President|| president, reforms, people
<|endoftext|>|| order, stand, business
Mr. Speaker|| passage, appeal, check
Madam Speaker|| states, legislation, costs
Mr. Speaker|| american, gentleman, rise
<|endoftext|>|| made, order, distinguished
Mr. Speaker|| words, letting, speech
<|endoftext|>|| sympathy, accepts, voluntarily
Mr. Speaker|| back, texas, speaker
Mr. Chairman|| insurance, workers, billion
Mr. Speaker|| minutes, hampshire, quantification
Mr. President|| economic, united, fast-track
Mr. Speaker|| awaiting, carolina, saturday
Mr. President|| unanimous, amendments, propose
Mr. Chairman|| national, capabilities, chairman
Mr. Speaker|| lives, speaker, fatalities
Mr. Speaker|| infrastructure, act, chairman
Mr. Speaker|| air, bill, ozone
<|endoftext|>|| emergency, state, water
Mr. Speaker|| contributions, history, time
Mr. Speaker|| post, relied, years
Mr. Speaker|| forever, child, elite
Mr. Speaker|| spun, charlotte, speaker
Mr. Speaker|| vice, security, speaker
<|endoftext|>|| district, amendment, president
Madam Speaker|| consume, member, madam
<|endoftext|>|| medicaid, medicare, fund
<|endoftext|>|| national, understanding, investigations
Madam President|| states, efforts, war
Mr. President|| west, minnesota, investment
<|endoftext|>|| law, arizona, made
<|endoftext|>|| sanders, durbin, minnesota
Madam Speaker|| madam, report, time
Mr. Speaker|| important, republic, summer
Mr. Speaker|| house, material, extend
Mr. Chairman|| local, national, support
Mr. President|| obama, promise, campaign
<|endoftext|>|| issue, authorization, order
Mr. Speaker|| speaker, tempore, purpose
Mr. President|| promise, ssi, increased
<|endoftext|>|| norm, withdraw, pledging
Mr. President|| authorized, relations, hearing
Mr. President|| commitment, threat, health
Madam Speaker|| october, speaker, brave
Madam President|| work, president, hard
Mr. President|| colleagues, americans, december
Mr. Speaker|| speaker, department, children
<|endoftext|>|| americans, friend, service
Mr. Speaker|| taking, interest, months
Madam President|| pay, billion, republicans
Mr. President|| journey, world, point
Mr. Chairman|| committee, women, veterans
Madam Speaker|| house, motion, passage
<|endoftext|>|| instructions, billion, time
<|endoftext|>|| bill, gentleman, doctor
<|endoftext|>|| law, act, government
Mr. President|| bin, gave, saddam
<|endoftext|>|| people, affordable, yield
Mr. President|| population, american, heritage
<|endoftext|>|| companies, government, americans
<|endoftext|>|| basis, voluntary, campaign
Mr. President|| bellamy, bureau, chair
Mr. President|| president, constitution, washington
Mr. President|| energy, april, preservation
Mr. Speaker|| crew, condolences, johnson
Mr. President|| today, welfare, immediately
<|endoftext|>|| provide, administration, part
Mr. President|| man, thomas, people
<|endoftext|>|| stand, ago, expert
<|endoftext|>|| care, provide, lesser
Mr. Speaker|| speaker, kentucky, time
Madam Chairman|| minutes, stand, majority
Madam President|| stevens, senators, madam
Mr. President|| tax, sell, recently
Mr. Speaker|| god, august, groups
Madam Speaker|| insert, material, unanimous
Madam President|| participation, people, funds
Mr. President|| senator, pension, time
Mr. Speaker|| recommendations, participate, give
Mr. President|| comments, marines, commandant
Mr. Speaker|| children, american, mildred
Mr. President|| undertaken, reasons, retain
Mr. Speaker|| set, california, rise
Mr. Speaker|| speaker, oil, cycling
Madam President|| technical, amendment, terrorist
Mr. Chairman|| earmarks, state, funds
Mr. Speaker|| gentleman, hard, yield
Mr. President|| president, bill, make
Mr. Speaker|| american, well-funded, support
Mr. President|| preamble, motion, president
Mr. Chairman|| chairman, successful, program
<|endoftext|>|| majority, bill, bipartisan
<|endoftext|>|| obligations, act, jobs
Madam President|| iraqis, part, simply
Mr. Chairman|| quick, markey, yield
Madam Speaker|| bill, senate, victims
Mr. President|| investment, essential, cfius
Mr. Speaker|| gentleman, constituency, opinion
Mr. President. 6 years ago this month|| year, bici, february
Mr. President|| tax, added, year
Mr. Speaker|| responsible, responsibility, minutes
<|endoftext|>|| real, president, line
<|endoftext|>|| byrd, number, yesterday
Mr. Speaker|| chair, abroad, support
Mr. Speaker|| conference, making, fiscal
Mr. President|| policy, april, military
Mr. President|| people, diaspora, haitian
Mr. Speaker|| thought, speaker, middle
Mr. President|| rules, debate, agreement
Mr. Chairman|| taxpayer, house, congress
<|endoftext|>|| docking, epa, information
Mr. Chairman|| america, piece, county
Mr. President|| unanimous, considered, behalf
Mr. Chairman|| assistant, david, energy
Mr. Speaker|| object, york, reservation
Mr. Speaker|| maintain, year, highway
<|endoftext|>|| side, recognized, opposition
<|endoftext|>|| passed, farms, tonight
<|endoftext|>|| language, discussed, wilderness
Mr. Speaker|| straight, armenians, resolution
Mr. President|| entrepreneurship, small, business
Mr. Speaker|| hoosier, congress, congressman
Madam President|| madam, included, simpson
Mr. Speaker|| family, monday, people
<|endoftext|>|| health, people, country
Madam Speaker|| work, good, government
<|endoftext|>|| bush, signed, start
Mr. Speaker|| time, consume, yield
Mr. Speaker|| powerful, bad, income
Mr. President|| states, coming, fortune
Mr. Speaker|| president, speaker, people
Mr. Speaker|| intended, planning, speaker
<|endoftext|>|| absolutely, landstuhl, consumer
Mr. Speaker|| progressive, immunity, michigan
<|endoftext|>|| north, women, abused
<|endoftext|>|| opportunity, insurance, purchase
<|endoftext|>|| security, americans, made
Mr. Speaker|| lantos, animals, household
Madam President|| tennessee, college, jim
Mr. President|| chair, minute, time
Mr. President|| neighbor, enhancement, kennedy
Mr. President|| singer, exploring, public
Madam Speaker|| break, state, information
Mr. President|| senators, concur, wednesday
Mr. Speaker|| system, legislation, case
<|endoftext|>|| meet, give, attention
Mr. President|| president, united, picker
Mr. Speaker|| floor, house, people
<|endoftext|>|| chamber, york, tonko
Mr. Speaker|| jobs, congressional, oil
Mr. Speaker|| motion, pass, yea
Mr. President|| gates, november, rotc
Madam President|| distinguished, statement, spoke
Mr. Chief Justice|| remind, days, managers
Mr. President|| american, senator, sisters
Mr. President|| strong, bill, board
<|endoftext|>|| infants, gentleman, makes
Mr. President|| floor, kerry, office
<|endoftext|>|| local, problems, gentleman
Mr. Speaker|| support, diocese, provide
Madam Speaker|| counties, amendment, doctors
Mr. President|| border, floor, senators
Madam President|| working, finance, title
Mr. President|| civil, president, respect
Mr. Speaker|| thursday, tempore, meet
Mr. Speaker|| impact, nation, lasting
<|endoftext|>|| pays, congress, honors
Mr. President|| monday, january, president
Madam Speaker|| support, tps, young
Mr. Chairman|| commitment, ranking, carp
Mr. Chairman|| palm, congratulations, springs
<|endoftext|>|| corporate, leaders, republicans
Mr. Speaker|| rules, manual, tempore
Mr. Chairman|| creating, president, big
Mr. Speaker|| vet, introduced, system
Mr. President|| election, press, national
Mr. President|| today, support, state
Mr. Chairman|| govern, closing, advanced
<|endoftext|>|| friend, information, points
Mr. Speaker|| ayes, announced, previous
<|endoftext|>|| time, good, resolution
Mr. Speaker|| speaker, congress, make
Mr. President|| violent, percent, money
Mr. President|| unica, end, broadcasting
Mr. President|| upcoming, delegation, women
Mr. Chairman|| give, benefit, property
Mr. President|| consent, intend, date
Mr. Speaker|| kids, resolution, hurt
Madam President|| budget, subsidy, year
Mr. Speaker|| illinois, extend, revise
Mr. Chairman|| time, people, obama
Mr. President|| morning, finish, bill
Mr. Chairman|| force, national, forces
Mr. Speaker|| hearing, unwilling, republican
Mr. Speaker|| tempore, pro, gutknecht
Mr. Speaker|| protect, system, yield
Mr. Speaker|| yield, services, gambling
Mr. Speaker|| federal, support, stem
Mr. Speaker|| objection, speaker, extend
Mr. Speaker|| authorized, technical, correct
<|endoftext|>|| infant, formula, worked
Mr. President|| clients, small, employees
Madam Chair|| million, michigan, legislation
Mr. President|| president, disposal, power
<|endoftext|>|| attention, joined, infants
Mr. Speaker|| california, federal, yielding
Mr. Speaker|| incomplete, reform, year
<|endoftext|>|| amendments, senators, votes
Mr. Speaker|| carolina, rural, usda
Mr. Speaker|| congress, dead, speaker
Mr. Speaker|| materials, extraneous, legislative
<|endoftext|>|| matter, senators, tax
Mr. Speaker|| speaker, respect, morally
Mr. Speaker|| independence, years, year
<|endoftext|>|| slashed, democratic, program
<|endoftext|>|| number, motions, amendments
Mr. President|| nevada, money, neighborhood
Mr. Speaker|| state, lands, interior
Mr. Speaker|| uncle, country, economy
Mr. Chairman|| budget, chairman, democratic
Mr. Speaker|| republican, taxes, federal
Mr. Speaker|| croatia, mentioned, assistance
Madam Speaker|| people, castro, smith
Mr. Speaker|| people, chairman, international
Mr. President|| republicans, brett, america
Mr. Speaker|| pursuant, clause, nays
Mr. Chairman|| today, opposed, reserve
Mr. Speaker|| strongly, back, members
<|endoftext|>|| word, criticism, republican
Mr. Speaker|| house, president, states
<|endoftext|>|| involved, hoping, controversy
Mr. Speaker|| federal, merit, state
<|endoftext|>|| calculate, neumann, worth
Mr. President|| added, suspend, rule
Mr. Speaker|| clause, rule, pursuant
<|endoftext|>|| allowing, home, work
Mr. Chairman|| oppose, gentleman, close
<|endoftext|>|| surprised, scheduled, iraq
Mr. Chairman|| information, committee, opportunity
Madam Chairman|| madam, chairman, services
Mr. President|| greenwich, work, connecticut
Mr. Speaker|| cola, injured, disabled
Mr. President|| courtney, obama, kris
Mr. President|| protection, children, sex
<|endoftext|>|| press, 10:30, votes
Mr. Speaker|| call, association, freshman
Mr. Speaker|| information, biggert, support
Madam Chair|| chair, epa, percent
<|endoftext|>|| support, friend, american
<|endoftext|>|| senator, understand, bipartisan
Mr. President|| vote, protocols, treaty
Mr. Chairman|| support, conduct, act
Mr. Speaker|| nation, speaker, pass
<|endoftext|>|| middle, levin, health
Mr. President|| subcommittee, closed, mark
<|endoftext|>|| group, yield, congratulate
<|endoftext|>|| water, keeping, business
<|endoftext|>|| connecticut, question, time
Mr. Speaker|| crunch, today, speaker
Madam Speaker|| mentioned, question, recognizing
<|endoftext|>|| words, people, hands
Mr. Speaker|| vote, mess, congress
<|endoftext|>|| qaeda, responsible, president
Mr. Speaker|| country, bill, border
Mr. President|| law, washington, attorney
<|endoftext|>|| mcdermott, offered, resolution
Mr. Chairman|| arms, michigan, respond
Mr. Speaker|| starting, plan, issue
Mr. President|| health, senator, foreign
Mr. Speaker|| disaster, usaid, make
<|endoftext|>|| bill, committee, finish
Mr. Speaker|| tempore, time, pro
Mr. Speaker|| thompson, association, judge
Mr. Speaker|| goode, give, pennsylvania
Mr. President|| firearms, officer, leahy
Mr. President|| airline, president, required
Mr. Speaker|| offering, speaker, gao
Mr. President|| labor, pensions, process
Mr. Speaker|| mississippi, understands, recorded
<|endoftext|>|| floor, emergency, states
Mr. President|| union, korea, president
Mr. Speaker|| decades, washington, obama
Mr. President|| opposition, patient, medicare
Mr. President|| authority, president, states
Mr. Chairman|| pence, bill, important
Mr. Chairman|| environment, review, committee
Mr. Chairman|| agency, rise, amount
Mr. Speaker|| proud, today, carlson
<|endoftext|>|| federal, regulation, buy
Mr. Chairman|| chairman, medicaid, billion
<|endoftext|>|| remembered, integrity, president
Mr. Speaker|| nation, nra, public
Mr. Speaker|| william, shot, marianne
Mr. Chairman|| death, health, tobacco
<|endoftext|>|| treasury, warrants, loan
<|endoftext|>|| package, chairs, insistence
Mr. President|| provision, med, participants
Madam Chair|| medicare, talking, spent
Mr. President|| corps, proceed, immediately
<|endoftext|>|| senator, breached, millions
Mr. President|| closure, february, session
Madam President|| chairman, decisions, sensitive
<|endoftext|>|| jobs, support, billion
Mr. President|| arizona, amendments, amendment
Mr. President|| secretary, senators, remainder
Mr. President|| problems, pray, indian
Mr. President|| divided, minutes, senator
Mr. Speaker|| market, time, times
Mr. Speaker|| americans, law, important
Mr. President|| information, resources, natural
Mr. Speaker|| house, hernandez, memory
Mr. President|| motors, today, presented
Mr. Chairman|| argument, bay, pan
Mr. Chairman|| low, chairman, raid
Mr. Speaker|| speaker, american, amendment
Mr. Speaker|| fighters, fighter, coming
Mr. Speaker|| understand, republican, working
<|endoftext|>|| bit, hyperbole, hand
<|endoftext|>|| today, set, states
Mr. President|| tax, join, affordable
Mr. Chairman|| caucus, alternative, american
Madam Speaker|| americans, people, massachusetts
<|endoftext|>|| count, promise, lot
Mr. Chairman|| era, taylor, amendment
Madam President|| book, judgment, madam
Mr. Chair|| agreed, tempore, september
Mr. Speaker|| ding, rise, florida
<|endoftext|>|| government, dangerous, debt
<|endoftext|>|| standard, fact, interest
Madam President|| senator, lot, maine
<|endoftext|>|| security, cia, friend
Mr. President|| schedules, committee, worker
Mr. President|| meet, hearing, health
Madam President|| allowed, hampshire, senator
Mr. Speaker|| lieutenant, give, simha
Mr. Speaker|| national, marca, living
<|endoftext|>|| tomorrow, pass, president
<|endoftext|>|| information, investigation, black
Mr. Speaker|| speaker, york, million
Mr. President|| improvements, utah, credit
Mr. President|| justice, judiciary, signifies
<|endoftext|>|| committee, valuable, north
Mr. Chairman|| taxes, amount, fact
<|endoftext|>|| vote, modified, makers
<|endoftext|>|| connecting, tale, find
<|endoftext|>|| conservation, work, gentleman
Mr. Speaker|| security, united, congress
Madam Speaker|| veterans, pay, armed
<|endoftext|>|| court, time, health
<|endoftext|>|| financial, conferees, fasb
Mr. Speaker|| home, people, disappointed
<|endoftext|>|| last-minute, urgent, hats
<|endoftext|>|| trio, keeping, upward
Mr. Speaker|| monterey, force, insight
<|endoftext|>|| profession, american, alarm
Mr. Speaker|| colleagues, california, moderator
<|endoftext|>|| journal, emphasize, apprised
<|endoftext|>|| brought, chair, sides
Madam Speaker|| health, provision, bill
<|endoftext|>|| israelis, heard, government
Mr. Speaker|| ago, rat, soldiers
Mr. Speaker|| gains, georgia, expenses
Mr. Chairman|| held, member, national
<|endoftext|>|| oklahoma, yield, boren
Mr. President|| testimony, president, open
<|endoftext|>|| united, votes, meet
<|endoftext|>|| economic, buy, pay
Mr. President|| employees, amendment, alabama
Mr. President|| grams, senators, senator
Mr. Speaker|| people, bill, considered
Mr. President|| senate, dirksen, hearing
Madam President|| appreciation, madam, interest
Madam President|| fcc, company, treasury
Mr. President|| deficit, paperwork, bit
Mr. Chairman|| delaware, teach, commend
Madam Chairman|| care, cbo, americans
Mr. Chairman|| minority, simply, advanced
Mr. Speaker|| providers, plans, gentlewoman
<|endoftext|>|| congress, cassidy, republicans
<|endoftext|>|| page, misread, simple
Mr. President|| transportation, bill, relief
<|endoftext|>|| base, structure, closing
Mr. Chairman|| jersey, services, resolution
Mr. Speaker|| rural, americans, order
Mr. Speaker|| tempore, leader, unanimous
Madam Speaker|| provisions, strongly, opposes
Mr. President|| illegal, bill, american
Mr. Chairman|| considered, support, cut
<|endoftext|>|| washington, legitimate, senator
Mr. Chairman|| chairman, congress, time
Madam President|| city, back, federal
Mr. President|| community, federal, government
<|endoftext|>|| education, disease, enforcement
Mr. President|| considered, amendment, desk
Mr. Speaker|| trust, revenue, spending
Madam Chair|| takeaways, state, republicans
Mr. Speaker|| speaker, people, commend
Madam Speaker|| building, members, madam
<|endoftext|>|| white, number, prize
Mr. Speaker|| iraqi, iraq, war
Mr. Speaker|| phone, decisive, legislation
Mr. Speaker|| treasury, dean, lending
Mr. President|| nashville, provo, law
Mr. President|| president, attorney, fbi
Mr. President|| president, motion, table
<|endoftext|>|| financial, emergency, support
Mr. Chairman|| alaskan, percent, ban
Mr. President|| juvenile, crime, drug
Mr. President|| cafeteria, million, west
Mr. President|| scott, vote, make
<|endoftext|>|| members, member, insinuate
Mr. Speaker|| friend, states, johnson
<|endoftext|>|| process, couple, administration
Madam Speaker|| ken, memorial, god
Mr. Speaker|| sikh, asian, yesterday
Mr. President|| senate, consent, june
<|endoftext|>|| wednesday, 6:29, senate
Mr. Speaker|| pro, consent, extraneous
Mr. President|| bills, 1:30, week
<|endoftext|>|| reason, intended, deals
Mr. Speaker|| funding, continuing, rise
Mr. Speaker|| card, budget, spirited
<|endoftext|>|| unanimous, amendment, sat
Mr. Speaker|| meet, bill, time
<|endoftext|>|| million, aisle, illinois
Mr. Speaker|| department, site, state
Mr. Speaker|| states, speaker, congress
Mr. President|| senators, seeking, delegate
Mr. President|| president, hutchison, legislation
<|endoftext|>|| federal, tragedy, spill
Mr. Chairman|| minutes, house, order
Mr. Chairman|| section, years, health
Mr. President|| recovery, darrington, rhonda
Mr. Speaker|| syrian, res, qaeda
Mr. Chairman|| assessment, schools, educational
Mr. President|| amendment, point, distinguished
<|endoftext|>|| office, told, explain
Mr. President|| president, ballistic, bill
Madam Chair|| evaluate, madam, time
<|endoftext|>|| mention, governor, commission
Mr. Speaker|| hunger, support, school
Mr. Chairman|| cooperation, children, deadbeat
Mr. Speaker|| additional, house, renzi
Mr. Speaker|| materials, extend, pro
Mr. Speaker|| speaker, legislation, september
Mr. President|| office, friend, years
Mr. Speaker|| recommit, nation, objection
<|endoftext|>|| country, trade, gentlewoman
Mr. Speaker|| bill, security, republican
Madam President|| vote, senate, september
<|endoftext|>|| provisions, senate, title
<|endoftext|>|| bill, blue, correct
<|endoftext|>|| states, resistance, congress
Mr. President|| managers, settlers, substantial
Mr. President|| president, morning, amendments
<|endoftext|>|| suggesting, cuban, talk
<|endoftext|>|| proceed, today, military
<|endoftext|>|| executive, judiciary, committees
Mr. President|| pilot, national, lunch
Mr. Speaker|| day, crashed, hijacked
Mr. Speaker|| support, strong, development
Mr. President|| states, motor, alexander
Mr. Speaker|| absolutely, president, abortion
<|endoftext|>|| measure, printed, time
Mr. Speaker|| hussein, delegation, saddam
Mr. Chairman|| president, house, bill
Mr. Speaker|| passing, beijing, taiwan
Mr. President|| colleagues, health, bill
Mr. Speaker|| york, hamas, people
Madam Speaker|| madam, federal, plebiscite
Mr. President|| financial, negotiating, senate
Mr. Chairman|| order, correct, stricken
Mr. President|| mujeres, bill, million
Mr. Speaker|| kind, security, find
<|endoftext|>|| government, state, jersey
<|endoftext|>|| federal, continuing, resolution
Madam Speaker|| obamacare, personal, identity
Mr. Speaker|| rise, friend, speaker
Mr. President|| appropriations, today, rise
Mr. Speaker|| hunter, speaker, chairman
Madam President|| action, record, madam
Mr. President|| business, consent, president
Mr. Speaker|| resolution, amendment, make
Mr. President|| families, subprime, loans
Mr. Speaker|| confidence, financial, protect
Mr. President|| senators, oklahoma, court
Mr. President|| appeals, committee, hearing
Mr. Speaker|| service, city, digital
<|endoftext|>|| today, fox, offered
Mr. Speaker|| united, member, people
<|endoftext|>|| sick, bad, committee
Mr. President|| prices, make, oil
Madam Speaker|| ago, gathering, treasury
Mr. President|| courts, cornell, world
Mr. Speaker|| reynolds, race, rjr
Mr. Speaker|| speaker, children, continue
<|endoftext|>|| senators, thought, remains
Mr. President|| today, president, sessions
Mr. President|| unanimous, recognized, president
Mr. Chairman|| withdraw, work, consent
<|endoftext|>|| general, people, quotes
Mr. Speaker|| process, possibly, make
Mr. President|| work, people, service
Mr. President|| secondary, committee, support
Mr. Chairman|| voting, movement, american
Mr. Speaker|| hurry, told, billion
Mr. Speaker|| yield, lifetime, osborne
Mr. Speaker|| agreement, pell, tax
Mr. President|| time, president, court
<|endoftext|>|| colleagues, district, court
Mr. President|| work, conrad, daschle
Mr. Speaker|| state, international, noticed
Mr. President|| finally, morning, wednesday
Mr. Speaker|| program, speaker, talent
Madam Speaker|| services, island, care
Mr. Speaker|| crossings, entry, guard
Mr. Speaker|| years, accomplish, health
Mr. President|| hold, commerce, thursday
Mr. President|| commission, american, clinton
<|endoftext|>|| resolution, clear, colleagues
Mr. President|| welfare, dodd, recipients
Mr. Speaker|| state, issue, states
<|endoftext|>|| hope, call, satisfactory
Mr. President|| defense, president, meet
<|endoftext|>|| minute, american, barr
<|endoftext|>|| conference, interior, happening
<|endoftext|>|| agree, middle, reserving
Mr. Speaker|| speaker, clinical, import
<|endoftext|>|| medical, care, savings
<|endoftext|>|| question, reference, bill
Mr. Speaker|| issue, crisis, gentleman
<|endoftext|>|| yield, berman, enduring
Mr. President|| spends, arizona, good
Mr. President|| time, heads, support
<|endoftext|>|| position, meet, raised
Madam Chair|| children, chains, regulations
<|endoftext|>|| california, space, committee
Mr. Speaker|| forces, force, clinton
Mr. President|| debating, federal, curb
Mr. President|| amendment, budget, reid
Mr. President|| students, program, premiums
Mr. Speaker|| pass, local, pay
Madam Chairman|| chairman, people, ranking
Madam Speaker|| government, public, postal
<|endoftext|>|| point, farmers, happen
Mr. President|| carolina, stake, pennsylvania
Madam Speaker|| women, america, offset
Mr. Speaker|| representatives, aisle, proud
Mr. Chair|| report, pursuant, gentleman
Mr. President|| support, omb, work
<|endoftext|>|| billion, growing, medicare
<|endoftext|>|| people, money, national
<|endoftext|>|| clean, spending, area
<|endoftext|>|| great, long-time, area
Mr. Speaker|| question, rules, affirmative
Mr. Chairman|| claim, hefley, yield
Mr. President|| increasingly, turkey, expression
Mr. Speaker|| march, people, developmental
Mr. Speaker|| private, pay, benefit
Madam Speaker|| department, mashpee, decision
<|endoftext|>|| concord, adopted, effort
Mr. Speaker|| requirements, west, bill
Mr. Speaker|| reclaiming, aids, forefront
Mr. Speaker|| celebration, greece, struggle
Mr. Speaker|| robert, weapons, china
Mr. Speaker|| drew, rise, honor
<|endoftext|>|| increases, services, legal
Mr. Chairman|| california, lewis, enjoy
Mr. Speaker|| hand, democrats, breaks
Mr. Speaker|| senseless, offer, oregon
Mr. Chairman|| bill, tempore, defense
Mr. Chairman|| jobs, small, arkansas
<|endoftext|>|| unreported, conferring, resolutions
Madam Chair|| banking, amendment, madam
Madam Speaker|| american, today, rise
Mr. Davis may want to comment as I proceed on some facts. I know that he has been a leader on some of these issues of SNAP and WIC.  Texas is just viewed as a well-to-do State and we don't need anything. Again|| billion, people, wic
Mr. Chairman|| committee, amendment, personnel
Mr. President|| request, reasonable, time
<|endoftext|>|| care, signed, wage
Mr. Speaker|| bill, house, national
Mr. Speaker|| colleagues, provisions, reform
Mr. President|| georgia, federal, justice
<|endoftext|>|| people, democrats, money
Mr. Chairman|| chairman, demand, product
Mr. Speaker|| february, o'clock, morning
<|endoftext|>|| function, bush, continuing
Mr. Chair|| taxing, chair, mine
Mr. President|| time, deeds, words
Mr. Chairman|| chairman, federal, bipartisan
Mr. President|| sudan, illinois, passed
Madam Chairman|| work, decision, cms
Mr. President|| recognition, moment, chafee
Mr. President|| federal, agencies, governmental
Mr. President|| program, side, years
Mr. Speaker|| yielding, group, gentleman
<|endoftext|>|| colony, america, senator
<|endoftext|>|| long-term, nation, control
<|endoftext|>|| chair, vote, interesting
Mr. President|| dramatic, east, heard
Mr. Chairman|| force, states, time
<|endoftext|>|| colleagues, tenacious, requested
Mr. Chairman|| learned, support, acting
Madam President|| bentonville, vote, state
Mr. Speaker|| time, happen, commerce
<|endoftext|>|| information, senators, important
Mr. Chairman|| increase, make, chairman
Mr. Speaker|| accidentally, accurately, speaker
<|endoftext|>|| reserving, side, brought
Mr. Speaker|| night, extended, basis
Mr. Speaker|| evening, lifesaving, awareness
Mr. Speaker|| economy, commitment, committee
Mr. President|| restaurant, family, saltsman
Madam Speaker|| madam, motion, house
Mr. President|| today, vero, recognize
<|endoftext|>|| web, compare, murphy
Mr. Speaker|| original, consent, speaker
<|endoftext|>|| senator, limited, remarks
Mr. Speaker|| atrocity, prevention, community
Mr. Speaker|| tennessee, accompany, objection
Mr. President|| moment, sitting, senator
Mr. Chairman|| immigration, border, military
Mr. Chairman|| rules, aisle, bill
Mr. Speaker|| good, jackson, call
Mr. Chairman|| mail-order, carolina, program
Mr. Speaker|| fact, jurisdiction, committee
<|endoftext|>|| florida, boxer, wyoming
Mr. President|| national, senate, bill
Madam Speaker|| care, law, madam
Mr. President|| systems, technology, senate
Mr. Speaker|| act, committee, development
Mr. President|| tempore, ordered, report
Mr. Chairman|| committee, today, credit
<|endoftext|>|| stand, difficulties, added
<|endoftext|>|| great, miller, california
Mr. President|| washington, state, staff
Mr. Speaker|| nuclear, speaker, indian
Mr. Chairman|| clinic, bill, officials
Mr. Speaker|| funds, congress, bush
Mr. President|| school, things, erickson
Mr. Chairman|| park, grams, year
Mr. President|| service, georgia, court
<|endoftext|>|| votes, overwhelming, limits
<|endoftext|>|| garrett, cut, medicare
Mr. President|| green, remains, hubs
Mr. Speaker|| unemployment, committee, question
Mr. President|| president, bill, michigan
<|endoftext|>|| reexamined, assignments, secretary
<|endoftext|>|| employer, working, problem
Mr. President|| station, sam, speak
Mr. Speaker|| speaker, interest, wild-eyed
<|endoftext|>|| sort, college, qualify
Mr. Speaker|| tax, sort, social
Mr. President|| virginia, usa, circle
Mr. Speaker|| conference, people, america
Mr. Chairman|| time, museums, doubt
Mr. Chairman|| insurance, agriculture, nation
<|endoftext|>|| decided, nonsense, washington
<|endoftext|>|| colleague, effectively, laws
<|endoftext|>|| majority, understand, agree
Mr. President|| presidential, october, number
Mr. Speaker|| state, consume, granting
Mr. Speaker|| effectively, yield, speaker
Madam President|| colleagues, complimented, madam
Mr. President|| march, robert, conditions
Mr. President|| costs, insurance, democrats
<|endoftext|>|| small, students, tax
Mr. Speaker|| vote, republican, percent
Mr. Speaker|| consume, public, energy
Mr. Speaker|| jobs, pension, government
Mr. Speaker|| debate, consume, minutes
<|endoftext|>|| campbell, hospital, senator
Mr. Speaker|| care, indiana, northeast
<|endoftext|>|| tempore, time, president
<|endoftext|>|| chance, comprehensive, question
Mr. Chairman|| deficit, time, gentleman
<|endoftext|>|| members, illustrates, valid
<|endoftext|>|| time, figure, dispositive
Mr. Speaker|| revise, material, legislation
Mr. Chairman|| antitrust, chairman, monopoly
Madam President|| briefly, president, law
<|endoftext|>|| plans, invest, care
Mr. Speaker|| minutes, wanted, government
Mr. Speaker|| people, running, week
Mr. President|| hearing, human, building
Mr. Chairman|| mark, jim, tom
<|endoftext|>|| women, americans, force
Mr. President|| rise, president, people
Mr. President|| day, date, president
Mr. Speaker|| abuse, month, county
<|endoftext|>|| general, independent, people
Mr. Speaker|| gekas, offer, floor
<|endoftext|>|| deficit, interesting, oppose
Mr. President|| happy, bill, enter
Mr. President|| obama, constituents, parenthood
Mr. President|| vote, test, student
Mr. President|| procurement, reform, issue
Mr. President|| senate, murray, mine
Madam Speaker|| country, international, protect
