Mr. Speaker|| status, discretionary, legislation
Mr. Speaker|| bob, extends, years
Mr. President|| president, democratic, solidarity
Mr. Speaker|| american, million, caucus
Mr. Speaker|| months, testimony, february
Mr. President|| administration, consent, authorized
<|endoftext|>|| includes, clause, chairman
<|endoftext|>|| speak, senators, longer
<|endoftext|>|| reform, fact, thing
Mr. Chairman|| rule, postponed, recorded
Mr. Chairman|| participants, program, drugs
Madam President|| covered, working, appropriations
Mr. President|| consent, discussion, understand
<|endoftext|>|| jobs, back, speaker
Mr. Speaker|| special, porter, turks
Mr. President|| time, basically, senator
Mr. Chairman|| allowed, federal, losers
Mr. President|| georgia, tradition, league
Mr. President|| legislation, senate, senator
Madam Speaker|| people, dialogue, resolution
Madam President|| senate, issue, people
Mr. Speaker|| amended, representative, legislation
Mr. Speaker|| commitment, virginia, darfur
<|endoftext|>|| landmark, america, states
<|endoftext|>|| coast, oil, government
Mr. President|| million, committee, senator
Mr. President|| long, point, congressional
<|endoftext|>|| president, control, auto
<|endoftext|>|| stayed, time, default
<|endoftext|>|| illness, point, sick
<|endoftext|>|| clauses, questions, clarify
Mr. President|| reconsider, record, bloc
Mr. Speaker|| yielding, representative, trafficking
Mr. Speaker|| bad, speaker, failure
Mr. Speaker|| democratic, people, spoke
Mr. President|| debtor, creditors, chairman
Mr. Speaker|| speakers, greatly, energy
Mr. President|| members, 9:30, tabled
Mr. President|| amendment, bill, amendable
Mr. President|| laid, considered, intervening
Mr. Speaker|| floral, speaker, american
Mr. President|| time, senators, conference
<|endoftext|>|| start, gun, find
Mr. President|| science, human-animal, president
Mr. President|| merkley, unanimous, senate
Mr. Chairman|| corpus, today, federal
Mr. Chairman|| chairman, title, respond
Madam Speaker|| friend, colleague, americans
Mr. Speaker|| gentleman, herger, washington
<|endoftext|>|| inquire, remaining, california
Mr. President|| unanimous, consent, granted
<|endoftext|>|| argentina, vaccination, fmd
Mr. Speaker|| learned, girl, safe
Madam President|| heart, congress, state
<|endoftext|>|| pay, president, daschle
Mr. President|| resulted, convincing, show
<|endoftext|>|| translating, list, dynamics
Mr. President|| funeral, director, nursing
<|endoftext|>|| doctors, senator, care
Mr. President|| members, ronald, week
Madam Chairman|| chairman, deeply, intelligence
<|endoftext|>|| november, points, amendment
Mr. Speaker|| yield, vote, kansas
Mr. Speaker|| speaker, members, concerned
<|endoftext|>|| simple, colleague, members
Mr. President|| consent, governmental, entitled
Mr. Speaker|| social, medicare, finance
Madam Speaker|| yield, week, house
<|endoftext|>|| home, willingness, continue
<|endoftext|>|| gentlewoman, suspend, pro
<|endoftext|>|| amendment, bishop, announced
Mr. President|| american, documents, court
Mr. President|| president, debt, government
Mr. President|| court, clean, time
Madam President|| treat, maryland, health
Mr. Chairman|| whip, middle, states
Mr. Speaker|| promise, junction, rise
Mr. Speaker|| important, york, program
<|endoftext|>|| states, political, shut
Mr. Speaker|| preferences, extension, present
Madam President|| manufacturing, tpa, national
Mr. Speaker|| affront, count, house
Mr. Chairman|| chairman, aliens, subcontractor
Mr. President|| today, legislation, tsa
<|endoftext|>|| foundation, tonight, matter
Mr. President|| risk, forestry, nutrition
Mr. President|| military, man, tennessee
Mr. President|| solution, carolina, senator
Mr. Chairman|| duplicative, peace, chairman
Mr. President|| agreement, yield, time
Madam President|| today, past, recognize
Mr. President|| work, support, hard
Mr. Chair|| yielding, applaud, floodplain
Mr. President|| president, elimination, schools
Mr. Speaker|| nea, produce, fact
Mr. Speaker|| congress, physicians, price
Mr. Speaker|| members, request, consent
Mr. Speaker|| proposed, rules, today
<|endoftext|>|| public, policies, plans
Madam Speaker|| proceedings, rule, prior
Mr. President|| corporation, lake, straits
Madam Speaker|| constitution, america, care
Mr. Speaker|| gentleman, production, home
Mr. Chairman|| virginia, texas, chairman
<|endoftext|>|| cincinnati, ohio, street
<|endoftext|>|| vote, president, immediately
Mr. Chairman|| fact, sentence, illinois
Mr. President|| colleague, acting, president
Mr. President|| opportunity, attorney, justice
<|endoftext|>|| west, senate, budget
Mr. Chairman|| college, today, sense
Mr. Chairman|| compromise, secretary, alleged
<|endoftext|>|| interest, order, input
<|endoftext|>|| census, building, percent
Mr. Speaker|| legislative, members, tempore
Mr. President|| mccain, point, chuck
<|endoftext|>|| senate, house, president
Mr. President|| order, legislation, agreeing
Mr. Chairman|| yielding, committee, drug
Mr. President|| mccain, nhtsa, commerce
Mr. President|| crop, assistance, suffered
Mr. Chairman|| coast, fate, understanding
Mr. Speaker|| tempore, speaker, petri
Madam Speaker|| campaign, president, madam
Madam Chairman|| policy, important, leadership
Madam Speaker|| ranking, security, global
<|endoftext|>|| finally, wic, budget
Mr. Speaker|| fact, matter, federal
Mr. President|| pennsylvania, presiding, house
Mr. President|| care, shade, staff
Mr. Chairman|| dellums, united, bosnian
Mr. President|| ready, managers, cochran
Madam Speaker|| court, military, justice
Mr. Speaker|| america, tragedy, passed
Mr. Speaker|| nation, rule, question
Mr. Chairman|| colleague, time, program
Mr. President|| conferences, boards, majority
<|endoftext|>|| told, gentleman, opinion
Mr. Chairman|| paragraph, amended, gentleman
<|endoftext|>|| speaker, american, legislation
Mr. Speaker|| gift, speaker, fraudulent
Mr. President|| storke, virginian, national
Mr. Speaker and my colleagues|| colleagues, states, america
Mr. President|| balanced, budget, fred
Mr. Speaker|| extraneous, include, tempore
Mr. Chairman|| postal, health, today
Mr. Speaker|| support, subcommittee, states
Mr. Chairman|| chairman, marriage, fear
Mr. President|| consent, recommit, bill
Mr. Speaker|| barrett, balanced, legislation
Mr. Speaker|| year, medical, research
Mr. Speaker|| week, speaker, released
Mr. President|| welfare, federal, colleagues
Mr. Speaker|| technology, energy, percent
Mr. President|| section, yeas, act
Mr. Speaker|| 9:30, doggett, listening
Mr. Speaker|| texas, speaker, jake
<|endoftext|>|| temporarily, wellstone, unanimous
Mr. Speaker|| rise, summed, harder
Mr. Speaker|| parliament, resolution, representatives
<|endoftext|>|| time, hole, spend
<|endoftext|>|| election, presidential, committee
Mr. Chairman|| policy, dropped, doorstep
Mr. President|| consent, unanimous, tremendous
Mr. Speaker|| balance, affirmative, house
<|endoftext|>|| criminalize, security, secretary
<|endoftext|>|| republican, white, administration
Mr. Chairman|| funding, infants, unborn
Mr. Speaker|| process, service, agency
Mr. President|| concern, issue, engage
Mr. Speaker|| yield, suspend, pass
Mr. President|| terrorist, states, american
<|endoftext|>|| iraqi, lots, iraq
<|endoftext|>|| democrats, time, great
Mr. President|| called, reassembled, 5:29
Mr. Speaker|| care, president, week
Mr. President|| traditional, grassley, free
Mr. Speaker|| unanimous, gentleman, meet
Mr. President|| choephel, opposition, karen
Mr. Speaker|| resolution, gandhi, struggle
Mr. Speaker|| balance, speaker, work
Madam Speaker|| bill, united, states
Mr. President|| president, unanimous, senators
Madam Speaker|| speaker, mom, day
Mr. President|| mack, nation, president
Mr. Speaker|| clips, martha, corbett
<|endoftext|>|| priority, aisle, strong
<|endoftext|>|| wounded, ranking, members
<|endoftext|>|| offset, discretionary, chairman
Mr. Speaker|| closed, speak, rule
Mr. President|| russia, assistance, aid
Madam Speaker|| speaker, law, constitution
<|endoftext|>|| apply, company, infusion
Mr. President|| tuesday, general, authorized
Madam President|| spend, forward, housing
Mr. Chairman|| years, yield, chairman
Mr. Speaker|| ralph, emerson, house
Mr. Chairman|| virginia, gentleman, request
<|endoftext|>|| thurmond, forces, president
Mr. President|| house, send, motion
Madam President|| rise, dillard, prayed
Mr. Speaker|| iraq, talked, standing
Mr. Chairman|| projects, elementary, innovative
Mr. President|| federal, loan, congress
Mr. President|| objection, mark, september
Mr. Chairman|| gentleman, colloquy, level
Madam Speaker|| madam, senate, border
<|endoftext|>|| president, late, work
Mr. Speaker|| legislative, gentleman, objection
Mr. Speaker|| today, january, pennsylvania
Mr. Chairman|| chair, scores, errors
<|endoftext|>|| united, result, situation
Mr. Speaker|| tax, working, year
Mr. President|| facts, folks, president
Mr. Speaker|| federal, legislation, speaker
Mr. President|| nevada, chief, important
Mr. Chairman|| program, point, line
Mr. President|| work, senator, prepared
<|endoftext|>|| change, objective, committee
Mr. President|| d'amato, provision, amendment
<|endoftext|>|| helping, american, hey
Mr. Speaker|| immigrants, behalf, contribute
<|endoftext|>|| vermont, south, rounds
<|endoftext|>|| issue, honor, speaks
Mr. President|| senate, judiciary, administrative
Madam President|| pass, working, focused
<|endoftext|>|| actions, things, improper
<|endoftext|>|| called, chair, basis
Madam Speaker|| internet, years, million
Mr. Speaker|| floor, congress, inflation
Mr. President I rise to support the amendment offered by my distinguished colleagues from Kansas|| low-income, authorizes, president
Mr. Speaker|| rules, california, saddam
Mr. Chairman|| chairman, pedestrian, billion
Mr. Speaker|| facilities, jersey, shore
<|endoftext|>|| understand, reiterate, medicare
Mr. Speaker|| honor, author, model
Mr. Speaker|| pension, motion, games
Mr. President|| government, examining, building
Mr. Chairman|| year, approach, budget
Mr. Speaker|| politics, passed, benefits
<|endoftext|>|| point, senate, sciences
Mr. President|| committee, leader, president
Mr. President|| extremely, york, acting
Mr. Chairman|| speaker, teaches, income
Madam Speaker|| room, real, coverage
Mr. President|| indoor, report, risks
Mr. President|| period, close, o'clock
Mr. President|| resources, senate, july
Mr. President|| day, distinguished, superfund
<|endoftext|>|| forest, plans, national
<|endoftext|>|| forward, chairman, time
Mr. Speaker|| country, national, guard
Mr. Chairman|| solomon, divide, derrick
Mr. President|| nunn, georgia, president
Mr. President|| controlled, leaders, noon
<|endoftext|>|| business, topic, administration
<|endoftext|>|| making, dealt, shaky
Mr. Speaker|| vote, today, budget
Mr. Chairman|| line-item, gentleman, individual
Mr. President|| community, august, colman
Mr. Chairman|| aids, drug, yielding
Mr. President|| agriculture, committee, impossible
Mr. Speaker|| head, give, programs
Mr. President|| security, extension, bills
<|endoftext|>|| director, acting, ashcroft
Mr. Speaker|| nation, american, world
Mr. Speaker|| relations, africa, subcommittee
Mr. Speaker|| speaker, children, standard
Mr. President this bill includes many projects that are important for my State of California|| rail, projects, improve
Mr. Speaker|| broke, shift, exhausted
<|endoftext|>|| suspend, gentleman, res
<|endoftext|>|| parents, provide, acceptable
<|endoftext|>|| vote, make, commerce
<|endoftext|>|| left, aristide, country
Mr. President|| entrepreneurship, senator, paychecks
Mr. Speaker|| national, speaker, hearing
Madam President|| mutually, life, argument
Mr. Chairman|| sentences, states, chairman
Mr. President|| senators, tuesday, national
Mr. President|| education, good, deduction
Mr. Speaker|| expressing, passing, unanimous
Mr. President|| glenn, dodd, michigan
Mr. Chairman|| internet, minute, bill
Mr. President|| authorized, consent, terrorism
Mr. Speaker|| park, panthers, championship
Mr. Speaker|| americans, speaker, american
<|endoftext|>|| reform, business, union
Mr. President|| department, needless, perry
Mr. President|| activities, americans, tax
<|endoftext|>|| thousands, care, pole
Madam President|| text, senate, considered
Mr. Chairman|| amendment, problems, veterans
<|endoftext|>|| close, articulated, absolutely
Mr. President|| session, united, international
Mr. Speaker|| families, house, negotiations
Mr. Speaker|| fuel, planet, million
Madam Speaker|| chairman, subcommittee, waxman
Mr. Chairman|| interest, california, literally
Mr. Speaker|| agency, labor, dollars
<|endoftext|>|| cash, pushed, oil
<|endoftext|>|| laws, suggestion, provisions
Mr. President|| today, men, zane
Mr. Speaker|| speaker, number, january
Mr. Speaker|| iaea, nuclear, weapons
Mr. Chairman|| chairman, terms, american
Mr. President|| issues, states, leadership
Mr. Speaker|| number, rise, legislation
Mr. President|| aviation, process, work
Mr. President|| chair, loans, business
Mr. President|| president, national, meet
Mr. President|| management, pacific, fte
Madam President|| members, speak, intelligence
Mr. Speaker|| protections, pay, members
<|endoftext|>|| program, encourage, minute
Mr. Speaker|| school, member, great
<|endoftext|>|| minute, bank, cases
Mr. President|| talk, today, delaware
<|endoftext|>|| good, hear, federal
Mr. Speaker|| recovered, based, delist
Mr. Chairman|| fairness, seek, collins
Mr. President|| march, tuesday, nutrition
<|endoftext|>|| signals, nunn, domenici
Mr. President|| month, history, young
<|endoftext|>|| session, debate, hours
Madam Speaker|| speaker, areas, engel
Mr. President|| president, national, highway
Mr. Speaker|| senate, announcement, talking
Mr. President|| america, american, ally
<|endoftext|>|| made, congress, reagan
Madam Speaker|| speaker, lama, china
Mr. Chairman|| human, chairman, time
Mr. Chairman|| foreign, amendments, chairman
<|endoftext|>|| file, personal, settlement
Mr. Speaker|| saturday, speaker, hockey
Mr. Speaker|| district, political, speaker
Mr. Chairman|| weight, programs, gentleman
Madam President|| united, amendment, care
Mr. President|| cosponsor, memorial, served
Mr. Speaker|| policy, dangers, president
Madam Speaker|| designed, scif, truth
Mr. Speaker|| speaker, bank, financial
Mr. Speaker|| time, yield, chairman
<|endoftext|>|| friends, speakers, iraq
Madam Speaker|| cummings, yield, question
Mr. Speaker|| rise, bill, senate
Mr. President|| billion, issues, agreement
<|endoftext|>|| senator, lot, shutdown
Mr. Speaker|| constitutional, concealed, speaker
<|endoftext|>|| committee, amendment, estimates
Mr. Speaker|| past, percent, continues
<|endoftext|>|| president, senator, washington
Mr. President|| chairman, simpson, president
Mr. President|| entered, previously, president
Mr. Speaker|| fault, health, began
Mr. Speaker|| occasions, held, people
Mr. President|| adjourned, 7:37, president
Mr. Chairman|| maintain, flexibility, texas
Mr. Speaker|| request, days, remarks
Mr. Speaker|| percent, played, credit
Mr. Speaker|| respect, great, gentleman
Mr. Chairman|| vote, work, states
<|endoftext|>|| high, states, investors
Mr. Speaker|| rio, consume, bailey
<|endoftext|>|| organizations, terribly, show
Mr. Speaker|| create, renewable, solar
Mr. President|| policy, sciences, schelling
Mr. Speaker|| contempt, republican, good
<|endoftext|>|| objection, previous, unanimous
<|endoftext|>|| months, budget, resolution
Mr. Speaker|| roosevelt, health, years
Mr. President|| intellectual, professional, disabilities
<|endoftext|>|| year, understand, trillions
Mr. President|| american, vehicles, fueling
Mr. Speaker|| promised, americans, medicare
<|endoftext|>|| decimated, people, organizations
Mr. President|| guns, act, president
Mr. Chairman|| region, commerce, funding
Mr. Speaker|| bill, understands, negotiate
Mr. Speaker|| challenges, country, rule
Mr. Chairman|| substitute, current, mink
Mr. Chairman|| justice, groups, equal
Mr. President|| order, spoken, bill
<|endoftext|>|| correct, arizona, understand
Mr. Speaker|| street, house, response
Mr. Speaker|| question, ayes, pro
<|endoftext|>|| creditworthiness, item, gentleman
Mr. President|| senator, equitable, texas
Mr. President|| senator, united, day
Madam Speaker|| state, los, local
<|endoftext|>|| bill, amendments, back
Mr. President|| funding, population, mexico
Mr. Chairman|| child, amendment, gentleman
Mr. Chairman|| chairman, taxes, kickback
Mr. Chair|| back, yield, gentleman
Mr. Speaker|| hut, employees, japan
Mr. Chairman|| funds, refused, words
Madam President|| forces, force, state
Mr. Speaker|| worry, government, federal
Mr. Chairman|| diego, guarantee, nation
Mr. Speaker|| united, president, destruction
Mr. Speaker|| march, tuesday, roll
Mr. President|| senator, daschle, minutes
Mr. Speaker|| pro, gentleman, material
<|endoftext|>|| budget, court, chairman
Mr. President|| command, kent, wyoming
Mr. Chairman|| years, amendment, market
Mr. President|| vacancies, murray, nominees
Mr. President|| million, pennsylvania, supports
<|endoftext|>|| million, lease, year
Mr. Speaker|| submitted, happened, funding
Madam President|| cost, nation, madam
Mr. President|| legislation, worked, senate
Mr. Speaker|| time, chair, pro
Mr. President|| missed, area, roll
Mr. President|| hungry, stamp, programs
<|endoftext|>|| request, side, senator
Mr. President|| budget, pass, american
Mr. President|| decide, correct, respect
Mr. Speaker|| sutton, rule, idea
Mr. President|| majority, state, nominees
Mr. Speaker|| speaker, kirksville, question
Madam Speaker|| comprehensive, raising, speaker
Madam President|| hour, adjournment, business
Mr. President|| feelings, confess, mixed
Madam President|| minutes, added, chafee
Mr. President|| contained, senator, program
Mr. Speaker|| republicans, tax, share
Mr. President|| understand, chance, votes
Mr. President|| amendment, supporter, employers
Mr. Speaker|| effort, constitution, product
<|endoftext|>|| nation, workers, house
Mr. President|| taiwan, billion, china
Madam Speaker|| subcommittee, memorial, bradley
Mr. Chairman|| major, terms, important
<|endoftext|>|| care, needed, rest
Mr. Chairman|| production, areas, jobs
Madam Speaker|| war, petraeus, july
Mr. Speaker. I rise in support of H.R. 4137. We recently have heard several tragic instances of women being sexually assaulted after their drinks were laced with potent sedative drugs. The bill imposes stiff penalties for the unlawful distribution and trafficking of Rohypnol and extends criminal penalties to anyone convicted of using a controlled substance with the intent to commit a sexual battery.  I support the legislation; however|| rise, bill, support
Mr. President|| today, suicides, including
Mr. President|| years, product, president
<|endoftext|>|| alternative, make, occur
Mr. Speaker|| enjoy, create, ingenuity
<|endoftext|>|| voter, voting, number
Mr. Chairman|| cuts, people, budget
Mr. President|| alaska, reservation, committee
Mr. Speaker|| speaker, working, waste
Mr. Chair|| american, national, rio
<|endoftext|>|| note, electricity, market-driven
Mr. President|| democrats, tax, conversations
Mr. President|| special, friend, money
<|endoftext|>|| senator, tit, admiration
Mr. Speaker|| greek, congress, gentleman
Mr. Speaker|| yield, legislation, investments
Mr. President|| wednesday, laws, recent
Mr. Chairman|| dole, support, committee
<|endoftext|>|| claims, liability, bringing
Mr. Chairman|| children, private, committee
Mr. Speaker|| give, day, coach
Mr. President|| act, health, program
Madam Speaker|| justice, uniform, firefighters
Mr. Speaker|| failed, families, obama
Mr. Speaker|| months, growth, parties
<|endoftext|>|| bill, agreed, aware
Mr. President|| wednesday, floor, year
<|endoftext|>|| body, friends, mrs.
<|endoftext|>|| colleagues, responsibility, speaker
<|endoftext|>|| wait, prepared, amendment
Mr. Speaker|| vote, united, representatives
Mr. Speaker|| yield, corrects, law
Madam Speaker|| years, mississippi, children
Mr. Chairman|| members, chairman, ultimately
Mr. Chairman|| sea, house, lives
Madam Speaker|| preach, work, law
Mr. President|| community, forest, citizen
Mr. Speaker|| europe, member, charter
Mr. President|| senate, act, members
Mr. Speaker|| adjourns, adjourned, concurrent
Madam Speaker|| request, members, pro
Mr. President|| island, act, energy
Madam President|| vote, prior, order
Mr. President|| entrepreneurship, year, committee
<|endoftext|>|| senator, levin, start
Mr. President|| auctions, state, states
Mr. Speaker|| hiv, program, aids
Mr. Chairman|| today, expansion, investment
<|endoftext|>|| utah, majority, healthy
Mr. President|| back, house, accounting
Mr. President|| york, research, senator
Mr. President|| end, confront, fighting
<|endoftext|>|| question, year, judges
Madam President|| years, iowa, care
Madam Speaker|| major, florida, mfo
Mr. Speaker|| comments, body, made
Mr. President|| shutdown, meadows, trump
Mr. Chairman|| amendment, interior, chairman
<|endoftext|>|| colorado, minnesota, kentucky
Mr. President|| speak, appropriations, president
Mr. Speaker|| suspension, bill, committee
Mr. Chairman|| information, snowe, sharing
Mr. Chairman|| president, year, consume
Mr. Luetkemeyer|| energy, legislature, issues
Mr. President|| war, states, iran
<|endoftext|>|| budget, years, flat
Mr. President|| clause, modified, amendment
<|endoftext|>|| pay, average, corporations
Mr. President|| cultural, program, city
Mr. Speaker|| million, house, speaker
Mr. Speaker|| parliamentary, speaker, opposition
Madam President|| written, president, state
<|endoftext|>|| pay, requires, debt
Mr. Speaker|| order, today, shakespeare
<|endoftext|>|| votes, order, case
Mr. Speaker|| speaker, making, body
Mr. Speaker|| united, nation, year
Mr. President|| bonus, president, committee
Mr. Speaker|| blackwater, refuge, gilchrest
<|endoftext|>|| borer, emerald, york
Mr. President|| white, food, aid
Mr. Speaker|| don, attacks, friends
Mr. Speaker|| grandchildren, support, accounting
Mr. Speaker|| maria, rise, majority
<|endoftext|>|| production, addition, american
<|endoftext|>|| short-term, hope, restore
<|endoftext|>|| shutting, collins, plants
Mr. Speaker|| opening, day, friend
Mr. President|| general, language, forces
Mr. Chairman|| law, cut, coast
Mr. Speaker|| wall, executives, bonuses
<|endoftext|>|| meeting, yielding, today
Mr. Speaker|| bill, services, comprehensive
Mr. Chairman|| lives, information, countries
Madam President|| president, madam, facts
Mr. Speaker|| government, speaker, collection
Mr. President|| president, homeland, entitled
<|endoftext|>|| rules, rule, problems
Mr. Speaker|| colleague, consume, report
Madam President|| give, jail, nonviolent
Mr. President|| unemployment, people, bill
Mr. Speaker|| consume, debate, gentleman
Mr. Chairman|| resolution, country, floor
Mr. Speaker|| american, majority, great
Mr. Speaker|| land, pork, legislative
Mr. Speaker|| speaker, imitation, program
Mr. Chairman|| rules, make, constitutes
Mr. Speaker|| gentleman, bills, accurate
<|endoftext|>|| dot, deterred, americans
Mr. Speaker|| consume, speaker, hearts
Mr. President|| today, nation, congress
Madam Speaker|| support, act, challenges
Mr. Speaker|| department, tax, constitution
Mr. President|| poor, senator, evidenced
Mr. Chairman|| chairman, rise, bill
<|endoftext|>|| gentleman, bills, reclaiming
<|endoftext|>|| analysis, gentleman, risk
Mr. President|| consent, authorized, unanimous
Mr. Speaker|| united, speaker, area
Madam Speaker|| attempt, continues, democracy
Mr. Speaker|| feel, fix, diane
<|endoftext|>|| housing, insurance, circuit
Madam Speaker|| soviet, today, man
<|endoftext|>|| size, put, law
Mr. President|| stand, tuesday, 9:45
<|endoftext|>|| great, chart, concern
Mr. President|| session, room, committee
Mr. Speaker|| move, time, minutes
<|endoftext|>|| offered, final, texas
Mr. Speaker|| million, children, families
<|endoftext|>|| people, byrd, move
<|endoftext|>|| grateful, government, offered
<|endoftext|>|| nebraska, father, schall
Mr. Chairman|| rose, chair, committee
Mr. President|| program, voting, legislation
<|endoftext|>|| ago, code, yield
<|endoftext|>|| colleague, agree, gas
Mr. Chairman|| subcommittee, space, technology
Mr. Speaker|| senate, city, appropriations
Mr. President|| military, shooter, civilian
Mr. President|| monday, tuesday, senate
Mr. President|| states, congress, house
Madam President|| today, pay, greece
Mr. President|| parenthood, care, international
Mr. Speaker|| united, violent, repeat
Madam President|| hall, madam, riverton
Mr. President|| discussing, reads, taking
Mr. President|| king, scott, act
Madam President|| republicans, medicare, armed
Mr. Speaker|| inflation, central, medicare
Mr. Speaker|| bill, chemical, speaker
Mr. Speaker|| communities, speaker, continued
<|endoftext|>|| table, earlier, call
Mr. Speaker|| speaker, appropriations, administration
Mr. President|| effort, reconciliation, nights
Mr. President|| extension, work, bill
Mr. Speaker|| san, water, speaker
Mr. President|| made, thanksgiving, federal
<|endoftext|>|| union, cost, fidel
Mr. President|| agreements, marketplace, manipulation
Madam Speaker|| people, nation, government
Mr. Speaker|| building, act, kentucky
Mr. Speaker|| political, bankrupt, house
Mr. Chairman|| yield, maryland, accused
Mr. Chairman|| risk, today, energy
Mr. Speaker|| extend, members, consent
Mr. President|| president, kiefer, distinguished
Mr. President|| economy, oppose, adds
Mr. Speaker|| trademark, design, announce
Mr. President|| colleagues, senate, congress
<|endoftext|>|| democrat, week, energy
Mr. Speaker|| minnesota, serve, behalf
Mr. Speaker|| killed, continue, servicemembers
Mr. Chairman|| executive, house, projects
Mr. President|| o'connor, justice, reagan
Mr. Speaker|| gentleman, rejected, amendment
Mr. President|| methamphetamine, million, policing
Madam President|| pages, judge, heller
<|endoftext|>|| good, aware, million
Mr. Speaker|| speaker, concerned, time
Mr. Speaker|| gentleman, tempore, california
Mr. President|| putting, colleagues, inform
<|endoftext|>|| open, floor, officer
<|endoftext|>|| united, tax, direction
Mr. Speaker|| california, discussion, wage
<|endoftext|>|| desert, yield, time
Mr. Speaker|| good, republican, people
Mr. President|| cloture, filed, members
Mr. President|| times, department, government
<|endoftext|>|| top, states, sentencing
Madam President|| state, hard, express
Madam Chair|| country, time, wrong
<|endoftext|>|| published, magnitude, existing
Mr. Speaker|| conscience, reflect, judicial
<|endoftext|>|| united, objectives, submitted
Mr. President|| appropriations, working, budget
Mr. President|| senate, idaho, endangered
Mr. President|| victims, crash, deeply
Mr. Tonko|| americans, important, big
<|endoftext|>|| consume, state, department
Mr. Speaker|| tonight, house, armenians
Mr. Chairman|| murphy, doctor, speaking
<|endoftext|>|| clause, portion, make
Madam President|| senate, representatives, task
Mr. President|| cade, department, homeland
Mr. Speaker|| billion, apparel, basin
Mr. Speaker|| insurance, committee, speaker
<|endoftext|>|| table, record, time
Madam President|| republicans, matter, lagoa
Mr. Speaker|| adjourn, adjourned, house
Mr. Speaker|| budget, people, never-ending
Mr. Chairman|| acting, proceedings, chair
Mr. President|| june, chamber, today
<|endoftext|>|| york, provide, seizing
Mr. Speaker|| care, staff, passed
Mr. Chairman|| consume, handgun, permits
Mr. Speaker|| bonior, michigan, direction
<|endoftext|>|| accompanying, provided, chairman
Mr. Chairman|| amendment, clerk, chair
Madam Chairman|| carolina, chairman, durbin
Mr. Speaker|| house, senate, wildfires
Mr. Speaker|| lastly, fact, give
Mr. Speaker|| vote, demand, question
Mr. Speaker|| people, crisis, mexico
Mr. Speaker|| day, taxpayer, county
Mr. President|| consent, amended, time
Mr. President|| tax, bill, moves
Mr. Chairman|| amendments, wednesday, committee
<|endoftext|>|| defense, virginia, bill
<|endoftext|>|| complete, manager, debate
<|endoftext|>|| dakota, community, big
Mr. Speaker|| east, jerry, gentleman
Mr. President|| kennedy, amendment, chair
Mr. Speaker|| present, bill, chair
Mr. Speaker|| tibet, square, china
Mr. Speaker|| president, congress, working
Mr. Chairman|| conyers, michigan, request
Madam President|| ceremony, center, advances
Mr. President|| care, president, senate
Mr. Chairman|| time, gentleman, defense
Mr. Chair|| sustainable, reclamation, california
Mr. President|| table, record, unanimous
Mr. Speaker|| war, americans, home
Mr. President|| security, balance, hollings
Madam President|| monday, proceed, votes
Madam President|| transit, provide, city
Mr. President|| north, democrat, prolific
Mr. President|| philadelphia, matter, questions
Mr. Speaker|| members, member, loans
Mr. President|| documentation, waiver, today
Mr. President|| years, fiscal, states
Mr. President|| department, general, independent
Mr. President|| esta, promotion, bill
Mr. President|| earned, army, south
Mr. Chairman|| commerce, bad, committee
Mr. President|| complimented, member, illinois
Mr. President|| read, considered, motion
<|endoftext|>|| issues, wendy, people
Mr. Chairman|| education, bill, parents
Mr. President I rise to introduce a bill that would improve the Federal Government's efforts to become more energy efficient and ensure accountability within executive branch agencies for meeting energy efficiency targets. The legislation would also amend Federal contracting rules to encourage energy efficiency across the Federal|| management, federal, agency
Mr. President|| internet, work, today
Madam Speaker|| congressman, caucus, critical
Madam Chair|| printed, house, york
Mr. President|| period, remarks, minutes
<|endoftext|>|| extent, harder, portion
Mr. President|| ago, harbor, institution
Mr. Chair|| withdrawn, rise, committee
Mr. President|| benefits, people, president
<|endoftext|>|| constitution, constitutional, federal
Mr. Chairman|| men, flies, point
Mr. Speaker|| gentleman, lacks, kingston
Madam President|| simply, house, chair
Mr. Speaker|| great, mcdonald, gentleman
Mr. President|| motion, affirmative, relation
Madam President|| point, international, president
Mr. Speaker|| angeles, goods, los
Mr. President|| previous, included, sufficient
Mr. Speaker|| board, legislative, land
Mr. Speaker|| unanimous, members, extraneous
Mr. President|| act, bill, payments
Mr. Speaker|| chairwoman, related, steadfast
Madam President|| fact, care, rule
Mr. Chairman|| smith, support, yield
Mr. Chairman|| intent, interests, opposition
Mr. Speaker|| modems, rise, internet
<|endoftext|>|| chairman, good, texas
Mr. Speaker|| tax-free, save, committee
Mr. President|| nomination, judiciary, minutes
Mr. Chairman|| state, river, charter
Mr. President|| committee, service, session
<|endoftext|>|| epa, senator, america
Mr. Chairman|| previously, authorized, study
Mr. Speaker|| americans, began, judge
Mr. President|| accident, tragic, today
<|endoftext|>|| ends, washington, spent
Mr. Chairman|| eisenhower, nation, strong
<|endoftext|>|| medicare, vladeck, hcfa
Mr. Speaker|| vendors, veterans, supply
Mr. Chairman|| gentleman, years, chairman
<|endoftext|>|| planning, family, china
Mr. Chairman|| jersey, body, completely
<|endoftext|>|| senator, water, legislation
Mr. Speaker|| number, rules, government
<|endoftext|>|| today, talking, president
Mr. President|| cascadia, leahy, communities
<|endoftext|>|| democrats, business, back
Mr. President|| illinois, bill, legislation
<|endoftext|>|| loan, focused, programs
Mr. Speaker|| today, beach, alma
