Madam Speaker|| folks, happy, americans
<|endoftext|>|| facts, regard, politically
Mr. Speaker|| support, northern, strong
<|endoftext|>|| rules, completed, time
Mr. Speaker|| bill, services, congress
Mr. President|| answer, increase, amendment
Mr. Speaker|| trade, pacific, singapore
Mr. Speaker|| gustav, coast, hurricane
Mr. Speaker|| congress, force, republican
Mr. President|| doj, frankly, offering
Madam Speaker|| legislation, madam, people
Mr. President|| gas, travel, act
Mr. Speaker|| move, order, motion
Mr. Speaker|| sight, seniors, free
Mr. Speaker|| clayton, yield, representatives
Mr. Speaker|| catholic, put, paisley
Mr. President|| founding, today, america
Mr. Chairman|| subject, committee, minutes
Mr. Chairman|| iowa, spending, dog
<|endoftext|>|| dollars, paid, send
Madam President|| president, house, nadler
Mr. Speaker|| united, nation, november
<|endoftext|>|| adequately, position, material
Madam President|| friday, power, electricity
<|endoftext|>|| obamacare, budget, american
Madam President|| justice, concerned, answers
Mr. President|| legislation, memorandum, federal
Mr. President|| pay, administration, conference
Mr. President|| nuclear, states, pakistan
Mr. Speaker|| committee, bill, service
<|endoftext|>|| mailed, tennessee, taxpayers
Mr. President|| announce, president, alaska
Mr. Chairman|| bank, measure, business
Mr. Speaker|| budgets, development, tax
Mr. President|| visa, alaska, korean
Mr. Speaker|| patriotic, circuit, states
<|endoftext|>|| clarifies, understanding, group
<|endoftext|>|| meaning, commit, sincere
<|endoftext|>|| motions, unanimous, bill
Mr. President|| country, heard, senator
<|endoftext|>|| floor, lot, tomorrow
Mr. Speaker|| extend, columbia, legislation
Mr. Chairman|| program, roemer, lives
<|endoftext|>|| foreign, substitute, deadline
Mr. Speaker|| speaker, health, people
<|endoftext|>|| manufactured, material, concerns
Mr. President|| mexico, lobbying, reagan
Mr. Chairman|| chairman, hepatitis, strike
<|endoftext|>|| peace, anc, country
Mr. Speaker|| discount, market, seniors
Mr. President|| chinese, july, government
Mr. President|| markets, introduced, hedge
Mr. President|| wage, measure, legislation
Mr. Speaker|| year, dime, congress
Mr. Speaker|| palestinian, israel, west
Mr. President|| shot, crimes, legislation
Mr. Speaker|| military, members, heard
Madam Speaker|| international, business, tucker
Mr. Speaker|| israel, authority, israeli
Mr. President|| longer, business, century
Mr. Chairman|| amendment, support, gas
Madam Chairman|| canadian, consume, authorization
Mr. Speaker|| suffered, recession, history
Mr. Speaker|| floor, space, remarks
Mr. President|| people, harkin, bill
Madam President|| madam, government, violent
Mr. Chairman|| problem, nation, president
Mr. Speaker|| democratic, central, free
Mr. President|| nation, director, age
Mr. President|| iraq, prime, syria
Mr. Chairman|| bringing, strong, cynthia
<|endoftext|>|| bargain, situations, types
Mr. President|| president, bill, made
Mr. Speaker|| extraneous, legislative, days
Mr. President|| historic, texans, today
Mr. Speaker|| waco, work, begin
Madam Chairman|| effect, loan, concerned
Madam President|| lieutenant, anderson, columbia
Madam President|| matter, leader, quibble
<|endoftext|>|| illustrate, point, top
Mr. Speaker|| african, university, public
Madam Chairman|| percent, members, premium
Mr. President|| funds, secretary, treasury
Mr. Speaker|| include, material, legislative
Mr. President|| good, minutes, vote
Mr. President|| million, future, path
<|endoftext|>|| true, whoa, withdraw
Mr. President|| president, software, real
Madam Speaker|| madam, representatives, kuster
Mr. President|| senate, president, comments
Mr. Chairman|| bay, parcel, yield
Mr. President|| discussing, yield, possibly
Madam Speaker|| economic, people, percent
<|endoftext|>|| colleagues, work, modify
Mr. Chairman|| subcommittee, concur, bumpers
Mr. Speaker|| order, present, postponed
Mr. Chairman|| control, member, unanimous
Mr. Speaker|| helpful, senate, add
Mr. Speaker|| consent, speaker, switch
<|endoftext|>|| thrive, job, makes
Madam President|| illegal, senate, federal
Mr. Speaker|| carolina, military, operations
Mr. President|| couple, distinguished, work
Mr. Speaker|| resolution, foreign, good
<|endoftext|>|| cwc, leader, states
<|endoftext|>|| abolished, members, house
Mr. President|| massachusetts, unanimous, told
Mr. President|| gas, states, countries
Madam Chair|| united, human, healthy
Madam Chairman|| food, understanding, state
Mr. Speaker|| team, house, level
<|endoftext|>|| engineers, senators, appropriations
Mr. Chairman|| country, interior, acting
Mr. Speaker|| committee, virginia, version
Mr. Chairman|| shows, benefits, years
<|endoftext|>|| 8:43, senate, august
<|endoftext|>|| specter, read, opposite
Mr. President|| maine, senators, amendment
Mr. President|| unanimous, amendment, bill
Mr. President|| united, force, students
<|endoftext|>|| constituents, helpful, harder
Mr. President|| send, aisle, agreement
Mr. President|| park, events, vanilla
Mr. Speaker|| exemplary, black, service
<|endoftext|>|| required, time, succeed
<|endoftext|>|| jobs, impact, economic
Mr. Speaker|| teacher, affected, retirement
Mr. President|| lee, officials, defense
<|endoftext|>|| corpus, petition, petitions
<|endoftext|>|| move, discourse, direction
Mr. Chairman|| body, part, number
<|endoftext|>|| cutting, administrator, united
Mr. President|| built, certify, subsequently
Mr. Chairman|| budget, homeland, priorities
Mr. President|| oscar, stronger, uprooted
Madam Speaker|| challenge, interests, advance
<|endoftext|>|| leave, employees, senator
Mr. President|| judiciary, march, building
Mr. President|| age, kentuckian, president
Mr. Speaker|| kris, time, balance
Mr. Speaker|| pay, budget, today
Mr. Speaker|| designation, adoption, speaker
Madam President|| lyon, school, districts
Mr. President|| president, year, reflects
Mr. President|| bill, appropriations, year
Mr. President|| worthwhile, extremely, sciences
Mr. President|| president, committee, side
Mr. Speaker|| built, historic, preservation
Mr. Speaker|| war, haiti, clinton
<|endoftext|>|| underlying, state, correct
Mr. President|| money, language, taxpayers
<|endoftext|>|| senator, number, favor
Mr. President|| time, morning, allowed
Mr. Speaker|| subjected, house, place
Mr. Speaker|| administration, ranking, business
Mr. President|| ranking, stevens, life
Mr. President|| president, leadership, greatest
Mr. President|| army, aircraft, appropriations
Mr. President|| offered, president, work
Mr. President|| social, rise, today
<|endoftext|>|| amount, time, tennessee
Mr. Speaker|| decide, americans, pass
<|endoftext|>|| matter, motion, conferees
<|endoftext|>|| houston, nation, leaving
Mr. Speaker|| business, argument, recommit
Mr. President|| state, words, retired
<|endoftext|>|| idaho, opposite, position
Mr. Speaker|| care, yolanda, congressional
Mr. President|| time, senator, asked
Mr. Speaker|| home, act, restoration
<|endoftext|>|| security, nuclear, maintenance
Mr. Speaker|| legislative, rule, day
Mr. President|| months, price, problem
<|endoftext|>|| government, generally, work
Mr. President|| trafficking, expression, sex
Mr. President|| federal, bill, serve
Mr. President|| colleague, torture, president
Mr. President|| states, federal, district
Mr. President|| tax, economic, analysis
Mr. President|| north, president, rise
Mr. President|| intent, mission, soybeans
Mr. Chairman|| temporary, program, benefits
<|endoftext|>|| chairman, acre-feet, water
Mr. Speaker|| end, service, united
<|endoftext|>|| intent, phased, thing
Mr. Speaker|| send, accept, senate
Mr. Speaker|| honor, war, life
Mr. Speaker|| fitzpatrick, requires, substances
<|endoftext|>|| central, campus, washington
Madam President|| strengthen, united, dorgan
Mr. Speaker|| support, form, consume
<|endoftext|>|| civil, majority, mayor
Mr. President|| grand, dirksen, president
Mr. Speaker|| states, committee, schiff
Mr. Speaker|| care, plans, expatriate
Mr. Speaker|| republican, texas, good
Mr. President|| address, reserving, question
<|endoftext|>|| covered, regime, system
Madam Speaker|| president, standing, children
Mr. President|| agency, congress, interceptors
Mr. Speaker|| debate, house, bipartisan
Mr. Speaker|| fussell, post, legislation
<|endoftext|>|| wisconsin, matter, senator
Mr. Speaker|| impact, government, paul
Mr. Speaker|| improve, american, speaker
Mr. Speaker|| yielding, representative, support
Madam Speaker|| equal, access, mrs.
Mr. President|| employee, documents, employer
Mr. President|| president, renee, beck
<|endoftext|>|| rule, chairman, arts
Mr. President|| president, nomination, consent
Madam President|| commend, chair, issue
Mr. Speaker|| loss, great, career
Mr. Chairman|| support, awarded, medal
Mr. Speaker|| committee, green, extraordinary
Mr. President|| gregg, chancellor, indianapolis
<|endoftext|>|| baucus, recognized, form
Mr. President|| state, businesses, collect
Mr. President|| committee, acts, president
Mr. Chairman|| waterway, intracoastal, intent
<|endoftext|>|| yield, senate, time
<|endoftext|>|| allocation, taking, formula
<|endoftext|>|| title, considered, state
Mr. President|| dealings, gasoline, president
Mr. Speaker|| side, judiciary, johnson
Mr. President|| people, senate, joan
Mr. Chairman|| time, foreign, state
<|endoftext|>|| issue, philosophical, minnesota
Mr. President|| democratic, estrada, weapons
Mr. President|| meet, 9:30, thursday
Mr. President|| united, troubling, america
Mr. President|| school, schools, important
Mr. Speaker|| representatives, official, colleague
Mr. Speaker|| o'clock, speaker, house
Mr. President|| disease, health, state
Mr. President|| career, general, atlantic
Mr. Speaker|| speaker, pows, pow
<|endoftext|>|| circuit, white, overstretched
Mr. President|| disposal, local, landfill
Mr. Speaker|| res, committee, appropriations
Mr. Speaker|| maine, prescription, drug
Mr. Chairman|| chair, minutes, chairman
Mr. President|| toasters, reason, end
<|endoftext|>|| budget, government, remind
Mr. Chairman|| recorded, debate, pursuant
<|endoftext|>|| trade, mentioned, solomon
Mr. Speaker|| corrected, tempore, line
<|endoftext|>|| system, senator, control
Mr. President|| authorized, works, office
Mr. President|| congresses, working, care
<|endoftext|>|| importance, land, district
Madam Speaker|| medical, engineer, national
Mr. President|| president, adjourn, journal
Mr. President|| printed, appropriations, report
<|endoftext|>|| congress, bill, newtown
Mr. Speaker|| committee, finance, function
<|endoftext|>|| things, waste, paid
Mr. President|| commander, chief, military
<|endoftext|>|| volunteer, committee, addressed
Mr. President|| subic, united, carrier
<|endoftext|>|| amendment, louisiana, member
Mr. Speaker|| schools, protection, importance
Mr. Speaker|| achieve, debate, schools
Mr. President|| hospital, veteran, centers
Mr. Speaker|| report, announced, ordered
Mr. Speaker|| consent, members, terry
Mr. President|| areas, provide, medicare
Mr. President|| president, virginia, amendments
Mr. President|| securing, prosperity, president
Mr. Speaker|| rise, gentleman, crime
Mr. President|| requirement, foreign, american
Mr. Chairman|| exposing, process, motions
Mr. President|| colleagues, offer, development
Mr. Speaker|| wisconsin, homes, home
Mr. Speaker|| tracers, oppose, putting
Mr. Chairman|| indian, elections, india
Mr. Speaker|| schools, speaker, alternative
Mr. President|| injured, speak, senate
Mr. Speaker|| clinton, tax, middle-class
Mr. Speaker|| small, government, senator
Mr. President|| preservation, wilderness, activities
<|endoftext|>|| rules, department, provisions
<|endoftext|>|| additional, reform, minutes
<|endoftext|>|| voted, point, plan
Mr. President|| president, considered, motion
Mr. Speaker|| indiana, house, pro
Mr. President|| point, printed, democratic
<|endoftext|>|| john, carly, staff
Mr. Speaker|| people, ponzi, americans
Mr. Speaker|| place, speaker, land
Mr. President|| receive, administration, consent
Mr. Speaker|| end, mae, speaker
<|endoftext|>|| matter, district, alabama
Mr. Speaker|| community, honor, passed
Mr. Chairman|| balanced, sabo, proposed
<|endoftext|>|| side, correct, talking
<|endoftext|>|| york, appropriation, museum
<|endoftext|>|| generally, social, address
Mr. President|| joint, relating, considered
<|endoftext|>|| balance, million, strongly
Mr. Speaker|| debate, choices, give
<|endoftext|>|| city, november, strong
Mr. President|| legislation, bill, language
Mr. Chair|| wildlife, otters, fish
Mr. President|| hours, reconciliation, senators
<|endoftext|>|| barn, master, body
Mr. Speaker|| speaker, american, conduct
Mr. Speaker|| speaker, recognizing, international
Mr. Speaker|| marines, social, marine
Mr. Chairman|| pacific, federal, government
Mr. President|| forward, move, mediator
Mr. Speaker|| organizers, board, educational
Mr. President|| november, president, opening
Madam Speaker|| prices, support, today
Mr. Speaker|| south, education, briggs
Madam President|| state, senator, president
Mr. Speaker|| latest, strong, income
Mr. Chairman|| time, employees, percent
Mr. President|| president, email, mobile
Mr. Speaker|| equity, support, measure
Madam Speaker|| debate, hear, representatives
Mr. Speaker|| minutes, nasa, space
Mr. Speaker|| center, ohio, speaker
Mr. Speaker|| lots, things, health
Mr. President|| lott, bluffs, delay
Mr. Speaker|| clay, court, workers
<|endoftext|>|| maryland, reclaim, senator
<|endoftext|>|| amendment, exchange, allowing
Mr. President|| senate, months, years
Madam Speaker|| congresswoman, world, jan
Mr. Speaker|| material, tempore, request
Madam President|| miss, good, great
Mr. Speaker|| speaker, save, show
Mr. President|| immediately, pending, ownership
<|endoftext|>|| child, boy, lives
Mr. President|| due, adjustment, delay
Madam Speaker|| modern, amended, rules
Mr. Chairman|| clinton, today, question
Mr. Chairman|| savings, one-tenth, traficant
Mr. President|| care, legal, improvement
Mr. President|| country, president, inspections
Mr. Chairman|| world, military, troops
<|endoftext|>|| instances, method, rare
Mr. Chairman|| members, congress, chairman
Mr. President|| fiscal, budget, law
Mr. President|| process, president, amendment
Mr. President|| occasion, law, war
Mr. Speaker|| speaker, piety, colleagues
Mr. President|| putting, georgia, issues
<|endoftext|>|| trump, reform, betsy
Mr. Chair|| part, report, amendment
Mr. Speaker|| tempore, speaker, question
Mr. President|| tom, service, sears
<|endoftext|>|| billion, democrats, bill
Mr. President|| affairs, meet, wednesday
Mr. President|| nevada, mayor, capitol
Mr. Speaker|| trump, speaker, businesses
Mr. President|| hopkinsville, pay, fame
<|endoftext|>|| days, spend, travel
Mr. President|| senate, resolutions, res
Mr. Speaker|| education, military, administrators
Madam President|| representatives, care, insurance
Mr. President|| places, consent, compromise
Mr. President|| consent, conduct, session
<|endoftext|>|| argue, ethanol, quoted
<|endoftext|>|| amendment, time, arts
Mr. Speaker|| committee, motion, good
Mr. President|| citizen, state, heating
Mr. Speaker|| money, timber, clubs
<|endoftext|>|| greater, lips, heard
<|endoftext|>|| executive, actions, investigate
Mr. President|| unanimous, joint, meet
Mr. President|| employees, employee, terminate
Mr. President|| conflicts, children, time
Mr. Chairman|| chairman, problems, tax
Mr. Speaker|| majority, tax, states
Mr. President|| disabilities, treaty, states
Mr. President|| nation, president, washington
Mr. Speaker|| lease, nation, fair
Mr. Speaker|| lengthening, pieces, gentleman
Mr. President|| bill, number, rate
Mr. Reed|| people, things, order
<|endoftext|>|| offer, hollings, unanimous
Mr. Speaker|| consume, texas, recognizes
Mr. President|| july, urban, affairs
Mr. President|| line, white, kennedy
Mr. Speaker|| back, debate, question
Mr. Speaker|| important, sifi, bipartisan
Mr. Speaker|| side, yield, leader
Mr. Speaker|| welfare, vermont, extend
Mr. Speaker|| greek, light, concern
Mr. Speaker|| historic, bipartisan, hbcus
Mr. President|| civil, veterans, service
Mr. President|| meet, conduct, office
Madam President|| president, affect, march
Mr. President|| election, taxpayers, government
Mr. President|| global, meet, december
Mr. President|| president, criteria, senator
Mr. Speaker|| industry, thanksgiving, bill
Mr. President|| unanimous, energy, 9:30
Mr. Chairman|| close, observations, service
Mr. Chairman|| service, yield, consume
Mr. Speaker|| speaker, urgent, business
Mr. President|| committee, unfulfilled, testimony
Mr. President|| thailand, good, world
<|endoftext|>|| received, ago, country
Mr. Speaker|| claim, claims, speaker
Mr. President|| chairman, president, final
Mr. President|| touched, arizona, point
Mr. President|| percent, gas, energy
<|endoftext|>|| assessment, risk, cost-benefit
<|endoftext|>|| matter, special, dole
Mr. Chairman|| representative, veterans, support
Mr. Chairman|| rise, opposition, amendment
Mr. President|| left, economy, jobs
Mr. President|| positive, federal, kind
<|endoftext|>|| repayment, program, draw
Mr. President|| presiding, vote, executive
Mr. President|| american, senator, president
Mr. President|| university, carr, brittany
<|endoftext|>|| yield, pass, results
Mr. Speaker|| gentlewoman, days, columbia
Mr. Chairman|| defense, amendment, disaster
Mr. Speaker|| great, state, majette
Mr. President|| ukraine, west, nation
Mr. Speaker|| nation, assured, work
Mr. Chairman|| rise, cut, year
<|endoftext|>|| coal, nuclear, friends
Mr. President|| administration, authorized, subcommittee
Mr. President|| president, janjua, bridget
<|endoftext|>|| address, companies, citizens
Madam Chairman|| family, amendment, health
Mr. President|| barrett, distinguished, judiciary
Mr. President|| homeland, order, amendments
Mr. President|| oregon, evelyn, earn
Mr. President|| act, fight, million
Mr. President|| michigan, issue, united
Mr. Speaker|| senate, extend, remarks
Mr. President|| department, build, time
Madam Speaker|| america, stand, dna
Mr. Speaker|| good, senate, representatives
<|endoftext|>|| chair, power, government
<|endoftext|>|| requests, agreed, unanimous
Mr. Speaker|| spending, speaker, missouri
Mr. Chairman|| appeared, question, speaker
Madam Speaker|| awareness, today, speaker
<|endoftext|>|| poorest, time, attractiveness
Mr. Speaker|| legislation, auctions, telecommunications
Mr. Chairman|| members, minus, day
Mr. President|| postponed, president, fda
<|endoftext|>|| extent, vote, reform
Mr. Speaker|| benefits, track, program
Madam President|| state, disasters, disaster
Mr. Speaker|| point, pursuant, object
Mr. Speaker|| jobs, spent, urge
Mr. Speaker|| government, republicans, slashing
Mr. Chairman|| yield, bill, security
Mr. Speaker|| sadly, terrorist, anniversary
Mr. Chairman|| paragraph, chairman, line
Mr. Speaker|| lot, lee, speaker
Mr. Chairman|| istea, interpretation, gentleman
<|endoftext|>|| court, people, constitution
Mr. Speaker|| compensation, offers, endangered
Mr. President|| paul, life, institutions
<|endoftext|>|| force, authorize, declare
Mr. President|| committee, commensurate, guard
Mr. Chairman|| analysis, interagency, executive
Mr. Chairman|| chairman, village, services
<|endoftext|>|| member, respected, community
Mr. Speaker|| congress, longer, served
Madam President|| norm, behalf, senator
Mr. President|| district, office, congress
Mr. Speaker|| mission, requires, university-based
Mr. President|| commonwealth, jefferson, british
Mr. Speaker|| members, days, pro
Mr. President|| agency, act, nation
Mr. President|| nation, national, office
Mr. Speaker|| parks, preservation, house
<|endoftext|>|| close, saturday, worked
Mr. Speaker|| fathers, intended, founding
<|endoftext|>|| small, house, speaker
Mr. Chairman|| iraq, bill, united
Mr. Chairman|| oak, amendment, chairman
Mr. Speaker and my colleagues|| insurance, costs, concerned
<|endoftext|>|| prudential, federal, beneficiaries
Mr. President|| whip, senator, staff
<|endoftext|>|| state, amendment, vote
Mr. Chairman|| blanc, yield, make
Mr. Speaker|| world, otto, award
Mr. Speaker|| opinion, money, deserve
Mr. Speaker|| hinojosa, join, caucus
Mr. Speaker|| states, lot, russians
Mr. Speaker|| support, small, business
Mr. Chairman|| relations, chairman, pennsylvania
Mr. Chairman|| committee, congress, chairman
<|endoftext|>|| years, deals, develop
Mr. President|| conference, amendment, offering
Mr. Chairman|| amendment, offered, modified
Mr. Speaker|| resolution, tempore, time
Mr. President|| avenue, court, judge
Mr. President|| dirksen, works, public
Mr. President|| great, paul, remember
Mr. Speaker|| wage, hour, changed
Mr. Speaker|| recognition, year, rise
<|endoftext|>|| brain, colleague, earlier
Mr. Speaker|| years, hhs, completed
Mr. Speaker|| speaker, balance, time
Mr. President|| iran, issue, people
<|endoftext|>|| opposed, directing, tonight
Mr. Speaker|| chair, balance, motion
Mr. President|| march, president, report
<|endoftext|>|| america, paying, bit
<|endoftext|>|| polluting, aisle, point
Mr. President|| china, branstad, role
Mr. Speaker|| memorial, southerner, respects
Mr. President|| prison, political, chinese
<|endoftext|>|| president, obama, economy
<|endoftext|>|| immediately, returned, foster
Mr. President|| american, senate, votes
Mr. Speaker|| countries, find, preparation
Mr. Chairman|| registration, davis, government
<|endoftext|>|| appropriator, focus, oregon
Mr. Chairman|| mfn, communist, discussing
Mr. President|| authorized, president, april
Madam President|| madam, journalist, character
Mr. President|| government, major, president
Mr. Chairman|| gentleman, states, president
Mr. President|| services, indians, increase
Mr. President|| market, exports, mexico
<|endoftext|>|| offer, mccain, recognized
Mr. President|| exchange, students, provision
<|endoftext|>|| senators, chairman, work
<|endoftext|>|| debate, kind, care
<|endoftext|>|| important, agree, building
<|endoftext|>|| months, hold, back
Mr. President|| progress, offer, committee
<|endoftext|>|| martin, laws, nation
Mr. Speaker|| senate, washington, information
<|endoftext|>|| reid, record, question
Madam Speaker|| republicans, madam, structurally
Mr. President|| supplemental, fema, california
Mr. President|| illinois, africa, infected
Madam Chair|| kinds, republicans, problem
<|endoftext|>|| pntr, fair, chinese
<|endoftext|>|| vermont, strongly, threats
Madam Speaker|| service, country, support
Mr. Chairman|| consume, corporate, agricultural
<|endoftext|>|| report, referencing, imagination
Mr. Chairman|| speaker, friend, president
Mr. Speaker|| previous, question, yield
<|endoftext|>|| senator, grants, vote
<|endoftext|>|| florida, maryland, senator
<|endoftext|>|| lady, note, deferred
Madam Speaker|| friends, house, united
Mr. Speaker|| speaker, business, experience
Mr. Speaker|| anniversary, undeniable, rise
Mr. President|| president, department, million
Mr. Speaker|| american, real, democrat
Mr. President|| maine, cohen, development
Mr. President|| hard-working, code, relief
Mr. Chairman|| time, told, laws
<|endoftext|>|| america, oil, president
Mr. Chairman|| supported, projects, money
<|endoftext|>|| solutions, unworkable, recent
Madam Chairman|| madam, objections, gentleman
Mr. President|| journal, leaders, prayer
<|endoftext|>|| full, authorization, time
Mr. Chairman|| make, billion, reclaim
Mr. President|| president, hays, agency
<|endoftext|>|| alzheimer, grandchildren, progression
Mr. President|| bank, discretionary, piggy
Mr. President|| people, coming, country
Mr. Speaker|| speaker, today, democrats
Mr. Chairman|| chairman, body, amendment
<|endoftext|>|| fallujah, injured, time
Mr. President|| finance, jeffords, nebraska
<|endoftext|>|| year, called, debt
Mr. Chairman|| establish, federal, subsidies
<|endoftext|>|| chamber, clarify, chairman
<|endoftext|>|| security, debt, ceiling
Mr. Speaker|| states, illinois, part
Mr. Chair|| unavoidable, votes, unable
Mr. Chair|| chair, plant, species
<|endoftext|>|| money, subcommittee, states
Mr. Chairman|| increase, student, start
Mr. Chairman|| bipartisan, percent, agreement
Mr. Speaker|| workers, rule, wage
Mr. President|| kentuckians, coal, jimmy
Mr. President|| lenders, act, congress
Mr. Speaker|| fivefold, people, increase
<|endoftext|>|| agree, funding, detect
Mr. Chairman|| side, minutes, debate
<|endoftext|>|| exist, subject, amendment
Mr. Speaker|| american, bush, judgment
Mr. President|| boehner, attend, developed
Mr. President|| effort, make, senators
Mr. President|| special, international, james
Mr. President|| president, larger, ports
Mr. Speaker|| russian, house, release
Mr. President|| labor, table, consideration
Mr. President|| legal, negotiation, referred
Madam Speaker|| gun, legislation, health
Mr. President|| june, secrecy, transmitted
<|endoftext|>|| louisiana, asia, title
<|endoftext|>|| state, legislation, flint
Mr. Speaker|| act, support, rise
Mr. President|| government, dispute, japan
Mr. Speaker|| north, day, country
Mr. President|| bill, birthday, eleanor
Mr. President|| agreed, north, working
Mr. Speaker|| lot, president, republicans
Mr. Speaker|| women, nutrition, contract
<|endoftext|>|| federal, act, financial
<|endoftext|>|| idea, active, coalition
Mr. President|| virginia, consent, privileged
Mr. Chairman|| vote, landowners, appropriations
Mr. President|| yesterday, president, hundred
Mr. President|| costs, homes, information
Mr. Speaker|| americans, home, cfpb
Mr. Chairman|| transportation, shuster, act
Mr. Chairman|| arizona, pet, federal
Mr. Speaker|| financial, congress, virgin
<|endoftext|>|| debate, pro, president
<|endoftext|>|| issue, important, increases
<|endoftext|>|| lead, bill, freezes
Madam President|| canada, fishery, commission
Mr. President|| law, print, person
Mr. Speaker|| special, responsible, sun
<|endoftext|>|| saturday, great, numbers
Mr. Speaker|| rules, bill, fail
Mr. Speaker|| speaker, rules, back
Madam Chairman|| question, madam, time
Mr. President|| colleagues, amendment, dakota
Mr. Chairman|| vote, pay, issue
Mr. Speaker|| congress, irma, served
Mr. President|| state, federal, appeal
Mr. Speaker|| question, previous, members
Mr. President|| lugar, days, senate
<|endoftext|>|| leader, act, court
Mr. Speaker|| stop, president, health
<|endoftext|>|| unanimous, executive, senate
Mr. Speaker|| elias, granite, life
Mr. President|| policy, issues, constitution
Mr. Speaker|| friendship, verve, ron
Mr. Speaker|| caller, call, bill
Madam Speaker|| support, workers, programs
Mr. Speaker|| force, add, rise
Mr. Speaker|| pro, minutes, hastings
Madam President|| information, act, vote
Mr. President|| committee, senator, commitment
Mr. Speaker|| focused, couple, failures
Mr. President|| distinguished, forests, gladly
Mr. Speaker|| bill, states, violent
Madam President|| senators, care, improve
Mr. Speaker|| speaker, purposes, report
Madam Chairman|| marriage, legislation, activist
<|endoftext|>|| offset, unwilling, talk
Mr. Speaker|| housing, conference, speaker
Mr. Chairman|| withdrawn, resolution, quorum
Mr. Speaker|| rule, government, response
Mr. President|| balance, constitutional, branches
<|endoftext|>|| tear, chamber, afford
Mr. Speaker|| developing, volunteer, points
Mr. Speaker|| college, judge, consume
Madam Speaker|| supplemental, taking, house
Mr. President|| consent, senate, unanimous
Mr. Speaker|| largest, years, blue
Mr. Chairman|| bill, federal, program
Mr. President|| act, state, senator
Mr. Speaker|| balanced, economy, chair
Mr. President|| year, fund, request
Mr. Speaker|| body, resolution, service
Mr. Chair|| trained, areas, access
Mr. President|| end, make, side
Mr. President|| equal, commission, confirmed
Mr. President|| back, clarification, senator
<|endoftext|>|| purchase, growers, farm
<|endoftext|>|| meeting, discuss, morning
Mr. Chairman|| fms, colombian, military
Mr. President|| years, federal, enforcement
Mr. President|| million, reclassify, exempt
Mr. Chairman|| chairman, minutes, sensenbrenner
Mr. President|| tax, health, country
Mr. Chairman|| rise, amendment, projects
<|endoftext|>|| free, media, years
<|endoftext|>|| district, children, listened
<|endoftext|>|| big, true, defense
Madam Chairwoman|| madam, students, comprehensive
Mr. Chairman|| service, increase, percent
Mr. Speaker|| company, grand, eagle
Mr. President|| house, school, funding
Mr. President|| governments, yield, angola
<|endoftext|>|| scaling, inquiry, keane
<|endoftext|>|| years, works, county
Mr. Speaker|| markets, senate, important
<|endoftext|>|| facilities, finally, required
<|endoftext|>|| series, amendments, accept
Mr. Speaker|| yielding, add, bill
Mr. President|| committee, consent, administration
<|endoftext|>|| understood, manager, senator
Madam President|| president, floor, colleagues
<|endoftext|>|| act, addition, bill
<|endoftext|>|| america, concerns, bill
Mr. President|| democratic, supreme, court
Mr. President|| kyl, guest, reform
Mr. Chairman|| beetle, central, district
Mr. President|| job, understand, helped
Mr. Speaker|| east, vice, klein
<|endoftext|>|| credits, period, grant
Mr. Chairman|| national, public, antiquities
Mr. Speaker|| congressman, nazi, valiant
<|endoftext|>|| buy, veterans, makes
<|endoftext|>|| learn, capabilities, center
Mr. Chairman|| act, energy, government
Mr. Chairman|| act, energy, renewable
<|endoftext|>|| clarify, agriculture, authority
Mr. President|| manufacturing, commerce, measure
Madam Speaker|| speaker, material, record
<|endoftext|>|| disingenuous, people, resolution
Mr. Speaker|| illinois, hastert, vote
Mr. Speaker|| rule, washington, question
Mr. President|| senator, roberts, crops
Madam Speaker|| constitution, legislation, states
Mr. Speaker|| pennsylvania, district, medical
Mr. President|| supplies, south, state
Mr. President|| amendments, unanimous, table
Madam Speaker|| nazi, government, documents
<|endoftext|>|| services, amendment, hope
Mr. Speaker|| checks, act, speaker
<|endoftext|>|| alaska, discussing, bill
<|endoftext|>|| cloture, respond, senator
Mr. Speaker|| balanced, yield, political
Mr. President|| american, states, expire
<|endoftext|>|| amendment, offered, house
Mr. President|| unanimous, policy, consent
Mr. Speaker|| house, yield, speaker
Mr. Chairman|| intent, procedure, legislation
Mr. Speaker|| health, speaker, late
Madam Chair|| tempore, move, union
Mr. President|| program, illness, administration
Mr. Chairman|| yield, amendment, time
Mr. President|| unanimous, building, indian
<|endoftext|>|| reported, amendment, intended
<|endoftext|>|| terrorists, january, limit
<|endoftext|>|| virginia, gentleman, massachusetts
<|endoftext|>|| chairman, world, territory
Mr. Chair|| energy, affairs, gentlewoman
<|endoftext|>|| assume, geography, day
Mr. President|| back, amendment, president
Mr. President|| president, indian, national
Mr. President|| djs, local, rules
<|endoftext|>|| finish, work, remarks
Mr. Chairman|| point, coyne, economic
Mr. Speaker|| time, farms, speaker
Mr. President|| government, sick, president
Mr. Chairman|| california, congress, amendment
<|endoftext|>|| pay, federal, clunkers
<|endoftext|>|| previous, transparency, wanted
<|endoftext|>|| cuts, deferring, number
<|endoftext|>|| government, assisting, iraqi
<|endoftext|>|| committee, response, good
Madam President|| committee, jersey, important
Mr. Speaker|| tolerance, israel, loophole
Mr. Speaker|| court, small, fair
Mr. Speaker|| secretary, act, americans
