Mr. Chairman|| fdic, federal, loan
Mr. President|| entitled, york, district
Mr. Chairman|| oppose, cut, bia
<|endoftext|>|| faa, yield, airport
Mr. Chairman|| development, chairman, usia
Mr. Speaker|| elected, medicaid, state
Mr. Speaker|| economy, washington, world
Mr. President|| men, lower, house
<|endoftext|>|| mode, jencks, welfare
Madam Speaker|| join, pro, legislation
Mr. President|| make, mergers, rules
Mr. Speaker|| communities, poorest, poverty
Mr. President|| rule, consent, invoke
Madam Speaker|| rise, years, americans
Mr. Chairman|| california, balance, stellar
<|endoftext|>|| final, funding, important
Mr. Chairman|| buyout, act, rif
<|endoftext|>|| make, regard, baby
Mr. President|| students, republicans, rates
Mr. Speaker|| support, prisons, consume
Mr. Chairman|| billion, refreshingly, yielding
Mr. President|| list, potentially, republicans
Madam Speaker|| rich, million, taxes
Mr. President|| passed, year, president
<|endoftext|>|| authorization, basis, solve
Mr. President|| authorized, conduct, november
Mr. Speaker|| part, time, body
Mr. Chairman|| chemical, enriched, profit
<|endoftext|>|| usa, colleagues, freedom
Mr. Speaker|| year, speaker, honor
Mr. President|| recommit, medicaid, fairly
<|endoftext|>|| support, branch, congress
Mr. Speaker|| american, country, dreamers
Mr. Chairman|| chairman, alabama, time
Mr. Speaker|| purposes, speaker, background
Mr. President|| amendment, president, innovative
Mr. President|| today, leaders, date
Mr. Speaker|| opportunity, scope, nation
Mr. Chairman|| gentleman, order, postponed
Mr. Speaker|| back, gary, congress
<|endoftext|>|| government, iowa, rule
Mr. President|| harkin, bill, energy
Mr. Chairman|| move, management, ago
Mr. Speaker|| military, years, wall
<|endoftext|>|| disaster, corps, damages
Mr. President|| committee, man, state
Madam Speaker|| organizations, americans, month
Mr. Speaker|| passed, congress, housing
<|endoftext|>|| process, relief, leader
Mr. Speaker|| prevention, congress, child
Mr. President|| colleague, alaska, colleagues
Mr. President|| program, working, legislation
Mr. Speaker|| pending, speaker, minutes
Mr. President|| amendment, told, specter
Mr. Speaker|| uniform, country, policy
Mr. President|| morning, reverend, rise
Mr. Speaker|| defined, department, read
Mr. Speaker|| hope, country, congress
Mr. President|| frank, senators, senator
<|endoftext|>|| project, alaska, island
Mr. President|| nation, intact, negotiations
<|endoftext|>|| senator, tomorrow, reservation
Mr. Chairman|| year, clear, ending
Mr. President|| research, army, military
Mr. President|| county, deschutes, justice
<|endoftext|>|| miles, friend, amend
Mr. Speaker|| billion, amount, fact
Mr. Speaker|| forefront, god, jobs
Mr. Speaker|| yield, hostile, tempore
Mr. Chairman|| legislation, chairman, creates
<|endoftext|>|| rules, bill, motion
Mr. President|| republicans, dirigo, stimulus
<|endoftext|>|| long, senator, agreed
Madam Chairwoman|| madam, bill, republicans
<|endoftext|>|| training, president, excellent
<|endoftext|>|| american, gave, bit
<|endoftext|>|| matter, states, move
<|endoftext|>|| heck, train, make
Mr. President|| customs, drug, friend
<|endoftext|>|| deal, delay, important
Mr. Speaker|| american, gasoline, high
<|endoftext|>|| talking, united, states
Madam Speaker|| madam, capitol, anniversary
<|endoftext|>|| mississippi, opportunity, americans
Mr. President|| senators, minutes, morning
Mr. President|| observance, school, president
Mr. President|| extending, join, expressing
Mr. President|| relations, committee, unanimous
Mr. Speaker|| note, ethics, discuss
Mr. Speaker|| service, vietnam, group
<|endoftext|>|| apache, talking, missile
Mr. Speaker|| internal, legislation, house
Mr. President|| lives, people, state
Mr. Speaker|| fight, agree, support
Mr. Chairman|| law, audit, bill
Mr. President|| senator, unanimous, consent
Mr. President|| dole, air, fights
<|endoftext|>|| continue, day, commitment
<|endoftext|>|| clear, talked, proposed
<|endoftext|>|| continue, employer, states
Mr. Speaker|| time, julia, life
Mr. President|| adopting, amendment, modified
Mr. President|| total, republicans, minutes
Mr. President|| building, unanimous, meet
Madam Speaker|| members, people, war
<|endoftext|>|| members, day, monday
Mr. Speaker|| party, washington, disappointed
Mr. President|| president, teamwork, day
<|endoftext|>|| bosnia, correctly, moment
Mr. Speaker|| speaker, credit, frozen
Mr. President|| office, military, suckers
Madam President|| bill, dealmaking, make
Mr. President|| represent, decision, united
Mr. Chairman|| legislator, state, debt
Mr. President|| reporter, senator, buy
<|endoftext|>|| time, chairman, yield
Mr. Speaker|| members, states, member
<|endoftext|>|| important, nation, closely
<|endoftext|>|| interested, orders, yield
Mr. Speaker|| chain, gentleman, years
Mr. Chairman|| costly, rise, digital
Mr. President|| president, arbitrary, mining
<|endoftext|>|| service, piece, amount
Mr. President|| house, delay, senators
Mr. President|| helmand, marine, wade
<|endoftext|>|| congressional, pickle, congressman
Madam President|| armed, nation, industry
<|endoftext|>|| kind, times, worthwhile
Mr. President|| bill, previous, understand
Mr. Speaker|| indifference, transportation, continue
<|endoftext|>|| degree, time, pointed
Mr. President|| hold, law, senate
Mr. Chairman|| amendment, committee, rise
Mr. President|| byu, made, bowls
<|endoftext|>|| percent, level, joe
Mr. Speaker|| disagree, maiden, constitution
Mr. President|| meeting, president, natural
Mr. President|| appeals, hope, vote
Mr. President|| room, office, building
Mr. President|| land, unusual, policy
Mr. Speaker|| negotiations, foreign, china
Mr. President|| reduce, cut, social
Mr. Chairman|| department, constitutional, terrorism
Mr. Speaker|| speaker, percent, shaking
Madam President|| country, people, protection
<|endoftext|>|| oversight, time, gentleman
<|endoftext|>|| earmark, technology, conference
Mr. Speaker|| gentlewoman, nick, speaker
Mr. President|| waste, food, abuse
Mr. Chairman|| brazil, mexican, friend
Mr. Speaker|| policy, comprehensive, subcommittee
Mr. President|| owen, respond, federal
<|endoftext|>|| considered, debate, made
Mr. Chairman|| cigarettes, tax, truth
<|endoftext|>|| employees, budget, house
Mr. President|| source, american, congress
Madam Speaker|| desert, people, nevada
Mr. President|| court, judge, branches
Mr. President|| stop, bill, murray
Mr. President|| army, city, san
Mr. Chairman|| rise, secondary, pro
Mr. Speaker|| concerned, mfn, pull
Mr. Speaker|| epa, public, speaker
Mr. President|| serving, today, extraordinary
<|endoftext|>|| speaker, states, federal
Madam Speaker|| work, home, solution
Mr. Speaker|| unlawful, exceedingly, committee
Mr. President|| exon, senator, president
Mr. Speaker|| jobs, lower, administration
Mr. Chairman|| technical, amendment, conforming
Mr. President|| drugs, president, time
Mr. President|| previous, order, consent
<|endoftext|>|| legislation, state, demonstration
Mr. Speaker|| speaker, american, today
Mr. President|| weight, constitutional, president
Mr. Chairman|| today, affected, local
<|endoftext|>|| difference, burden, chart
Mr. President|| pilot, speak, rhode
Madam Chair|| community, chair, opposition
<|endoftext|>|| long, courts, extraordinary
Mr. Speaker|| trade, yielding, time
<|endoftext|>|| lines, listening, fair
Mr. Speaker|| medicare, page, people
Mr. Speaker|| stokes, minutes, york
Madam President|| united, plan, system
Madam Speaker|| amended, faster, work
Mr. Chairman|| house, act, chairman
Mr. Speaker|| balance, house, time
<|endoftext|>|| hispanic, army, meraz
Madam Speaker|| president, conflict, stays
<|endoftext|>|| time, outlays, dollars
Mr. Speaker|| roles, story, washington
Mr. President|| brett, school, supreme
<|endoftext|>|| home, education, government
Mr. Speaker|| brigham, romeoville, student
<|endoftext|>|| appropriations, interested, bill
<|endoftext|>|| indians, american, fact
Mr. President|| crew, portsmouth, today
<|endoftext|>|| passage, withdrawn, pharmaceutical
<|endoftext|>|| committee, friend, wednesday
Madam President|| district, budget, systems
Mr. President|| district, tuesday, ensuring
<|endoftext|>|| chairman, gentleman, indiana
Mr. Chairman|| program, national, fact
Mr. Chairman|| cherokee, issue, courts
Mr. Speaker|| security, atomic, mrs.
Mr. Speaker|| good, fda, provision
Mr. President|| chamber, chair, address
Mr. Speaker|| country, concerned, countries
Mr. Speaker|| sebelius, information, american
<|endoftext|>|| states, set, instance
Mr. Speaker|| coast, act, atlantic
Mr. Speaker|| costs, bill, seniors
Mr. President|| united, bingaman, grant
Mr. President|| relations, company, teamwork
Mr. President|| courtesy, chairman, legislation
Mr. Speaker|| wall, dispatch, pretty
<|endoftext|>|| resolution, voted, make
Mr. Speaker|| resolution, stop, social
Mr. President|| unanimous, bill, payments
Mr. President|| alliance, america, eastern
Mr. Speaker|| bill, speaker, make
Mr. President|| agreed, cloture, vote
Mr. Speaker|| officers, law, access
Mr. Speaker|| bereuter, good, challenge
Madam President|| mcguigan, north, part
Mr. Chairman|| legislation, required, agency
Madam Speaker|| chairman, todd, traumatic
Mr. Chairman|| world, democracy, america
Mr. Speaker|| members, gentleman, extend
Mr. President|| unintended, care, president
<|endoftext|>|| debate, chairman, advocates
<|endoftext|>|| senator, finance, soft
Madam President|| country, border, democrat
Mr. Speaker|| good, magazine, speaker
Mr. President|| senate, executive, laid
Mr. Speaker|| great, january, syracuse
Mr. Chairman|| expired, case, consent
Mr. Speaker|| troops, strength, increased
Mr. President|| entitled, guarantee, president
Mr. Chairman|| corporate, chairman, menendez
<|endoftext|>|| pending, fisheries, wednesday
Mr. Speaker I am very aware of it|| place, reconciliation, key
Madam President|| track, working, jobs
Mr. Speaker|| september, representative, speaker
Mr. Chairman|| chairman, million, life
<|endoftext|>|| interest, long, status
<|endoftext|>|| mine, reminded, mind
Mr. Speaker|| meeting, united, nuclear
Mr. Speaker|| amendments, bill, rule
<|endoftext|>|| talking, heart, president
<|endoftext|>|| option, filled, vacancies
Madam Speaker|| today, unit, memorial
Mr. President|| primary, understanding, chair
Madam President|| wildlife, federal, fish
Mr. Speaker|| leadership, lantos, issue
Mr. Speaker|| bagram, sergeant, base
Mr. Chairman|| interests, concessions, national
<|endoftext|>|| authorizing, mention, language
Mr. Speaker|| important, infrastructure, rise
<|endoftext|>|| ready, legislation, millions
Madam President|| deputy, vietnam, president
Mr. Chairman|| chairman, government, producers
<|endoftext|>|| section, friend, dear
Mr. President|| economic, region, regional
Mr. Speaker|| single, time, special
Mr. Speaker|| care, schools, child
Mr. Speaker|| california, question, florida
Mr. President|| unanimous, amended, amendment
<|endoftext|>|| transmits, tempore, duties
Mr. Speaker|| time, hampshire, back
Mr. President|| cancer, methods, ideals
Mr. Speaker|| effort, bipartisan, century
<|endoftext|>|| georgia, working, tree
Mr. President|| decisions, drug, reduced
Madam Speaker|| percent, oil, billions
Madam Speaker|| defense, united, america
Mr. Speaker|| bethune, state, speaker
Mr. Speaker|| butterfield, implementation, motion
Mr. Chairman|| states, move, president
Mr. Chairman|| citizens, colleague, ros-lehtinen
<|endoftext|>|| institutes, senator, social
Madam Chairman|| education, crisis, event
Mr. Speaker|| yielding, medicare, speaker
Mr. Chairman|| request, obey, withdraw
Mr. Speaker|| sea, state, illinois
Mr. President|| senate, bill, tomorrow
Mr. Chairman|| increase, systems, chairman
Madam Speaker|| billion, afternoon, funds
Mr. Chairman|| cold, republicans, colleagues
<|endoftext|>|| pennsylvania, issue, house
Mr. Speaker|| friend, yield, limit
Madam Speaker|| dangerous, madam, house
Madam President|| wednesday, today, consent
<|endoftext|>|| care, quality, veterans
Madam President|| bill, helped, close
Mr. President|| percent, avoid, high
Mr. Speaker|| times, hemisphere, western
Madam Speaker|| madam, community, president
Mr. Speaker|| rational, goodies, consumption
Mr. Chairman|| acting, debate, chair
Mr. Speaker|| objection, tempore, revise
Mr. President|| gordon, mohammed, gen.
Mr. Speaker|| time, years, occurred
<|endoftext|>|| community, growth, spending
Mr. Chairman|| heard, appointments, yield
Mr. Speaker|| hand, nation, division
Mr. President|| march, communities, state
Mr. Speaker|| request, days, oregon
<|endoftext|>|| end, capital, vote
Mr. President|| purpose, bill, tempted
Mr. President|| nunn, president, bases
Mr. President|| bloc, immediately, nominations
<|endoftext|>|| response, billion, responses
Mr. President|| compliance, part, agricultural
Mr. Chairman|| california, chairman, academy
Mr. President|| president, indian, arizona
Mr. Speaker|| rooms, alcohol, problem
Mr. Speaker|| res, gentleman, revise
<|endoftext|>|| extraordinary, thing, hometown
Mr. President|| armed, april, authorized
<|endoftext|>|| relationship, abortion, sake
Madam President|| side, leader, bipartisan
<|endoftext|>|| regime, extraordinary, quarter
Mr. Speaker|| stafford, exploded, year
<|endoftext|>|| vote, hope, list
Madam Chairman|| latham, cleveland, underlying
Mr. President|| president, small, idaho
Mr. Chairman|| soundproofing, airports, chairman
Mr. President|| years, soviet, people
Mr. President|| secretary, provisions, objection
Mr. President|| people, reserve, street
Mr. Chairman|| chairman, support, country
<|endoftext|>|| committee, written, met
Madam President|| january, government, marked
Madam Speaker|| history, georgia, gentleman
Mr. Speaker|| construction, defense, purposes
<|endoftext|>|| based, canada, received
Madam Speaker|| technical, conforming, madam
Mr. Speaker|| life, mile, french
<|endoftext|>|| military, substantial, activity
<|endoftext|>|| issue, good, quarter
<|endoftext|>|| spending, year, additional
Mr. President|| provided, request, committee
<|endoftext|>|| trouble, times, negotiations
Mr. Speaker|| sound, speaker, goods
<|endoftext|>|| jobs, ago, people
Mr. President|| states, list, projects
Mr. President|| wednesday, 9:30, president
<|endoftext|>|| consideration, remainder, nomination
Mr. Speaker|| offer, amendments, telling
Mr. Speaker|| unemployed, jobs, responsibly
<|endoftext|>|| justice, yield, consume
<|endoftext|>|| nrel, rise, department
Mr. President|| hill, monday, april
Madam Speaker|| members, madam, revise
Mr. President|| public, national, parks
<|endoftext|>|| gentleman, yield, earmarks
Mr. President|| law, make, landrieu
<|endoftext|>|| expensing, seeking, real
Mr. Speaker|| states, step, end
Madam Speaker|| speaker, con, motion
Mr. Speaker|| resolution, speaker, court
<|endoftext|>|| process, request, gdp
Mr. President|| trust, true, spend
Mr. President|| pledge, medicaid, payments
<|endoftext|>|| america, budget, coverage
Mr. Chairman|| level, chairman, america
<|endoftext|>|| cut, spend, law
Mr. President|| victory, pandemic, sanders
Mr. President|| cola, general, members
<|endoftext|>|| senator, protected, president
Mr. President|| friday, benefit, consent
Mr. Speaker|| balance, speakers, vladimir
Mr. President|| senator, credit, committee
Mr. President|| senator, coburn, president
Mr. Chairman|| department, nevada, las
Mr. President|| unanimous, president, morning
<|endoftext|>|| government, company, educated
Mr. President|| work, spirit, bipartisan
<|endoftext|>|| senator, named, organizations
Mr. Chairman|| minimum, speaks, price
Mr. Chairman|| side, claim, moves
Mr. Speaker|| time, bill, appropriations
Madam President|| killed, army, iraq
Mr. Speaker|| moving, rules, process
Mr. Speaker|| housing, legislation, rules
Mr. President|| reconsider, nomination, motions
Mr. Speaker|| passing, procedural, democrats
Madam Speaker|| terrorist, defend, madam
Mr. President|| bill, president, eti
Mr. President|| economic, budget, children
Mr. President|| federal, japanese, states
Madam President|| facilities, states, previous
Madam President|| today, stevens, hour
Mr. President|| abraham, mack, guilty
Madam Speaker|| madam, appropriations, crenshaw
Mr. President|| 12:24, officer, presiding
Mr. Speaker|| request, adjourn, gentleman
<|endoftext|>|| nature, vote, kind
Mr. Speaker|| private, plans, story
Mr. Speaker|| people, concerned, issues
Mr. Speaker|| federal, members, rule
Mr. Chairman|| jurisdiction, act, election
Mr. Speaker|| high, rachel, story
Mr. President|| notre, catholic, mount
Mr. Chairman|| committee, reform, chairman
Mr. Speaker|| management, land, time
Mr. Speaker|| killed, community, high
<|endoftext|>|| march, hezbollah, house
<|endoftext|>|| village, representative, washington
Mr. President|| leadership, september, seeking
Mr. President|| amendments, community, offices
<|endoftext|>|| administration, increase, fumes
Mr. President|| federal, water, arizona
Mr. Speaker|| announced, appeared, previous
Mr. President|| president, congress, products
Madam President|| madam, matter, printed
Mr. Speaker|| white, rise, restore
Mr. President|| army, family, corps
Madam Speaker|| important, system, services
Mr. President|| crisis, states, bill
<|endoftext|>|| lowest, priority, reduction
Mr. Chairman|| constitution, vote, amendment
<|endoftext|>|| issue, veto, leader
Mr. Speaker|| pollin, citizens, legacy
Mr. President|| forces, day, american
Mr. President|| fall, accounts, cut
Mr. Chairman|| subcommittee, members, million
Mr. President|| amendment, senators, expenditure
Mr. President|| statement, senator, sides
Mr. Chairman|| pastor, arizona, respond
<|endoftext|>|| house, year, provided
<|endoftext|>|| forces, debate, humble
Mr. Speaker|| body, forwarded, proposals
Mr. Speaker|| landowners, treasury, simpson
<|endoftext|>|| find, clear, unambiguous
Mr. Chairman|| money, war, spending
<|endoftext|>|| north, house, honestly
Mr. President|| executive, transmitted, document
Mr. President|| spectrum, sioux, infrastructure
Mr. President|| plan, jobs, clinton
Mr. Speaker|| gopac, federal, fda
Mr. Speaker|| efforts, october, recognize
Mr. Speaker|| college, colleague, achieve
Mr. Speaker|| task, heading, gentleman
Mr. President|| vice, decided, senior
Mr. Speaker|| people, committee, process
Mr. President|| senate, grassley, iowa
<|endoftext|>|| people, trillion, repeal
Mr. President|| congress, pay, reforms
Mr. Speaker|| day, americans, states
Mr. President|| nearest, needed, million
Mr. Chairman|| american, systems, trucks
Mr. Chairman|| marriage, legitimate, hyde
<|endoftext|>|| cooperative, subcommittee, senate
Mr. Speaker|| problems, religious, washington
Mr. Chairman|| xxi, make, clause
<|endoftext|>|| american, floor, defense
Mr. Chairman|| legitimate, read, language
<|endoftext|>|| war, change, president
Mr. President|| acting, finish, problem
Mr. Speaker|| aisle, respond, membership
Mr. Speaker|| million, fortune, federal
<|endoftext|>|| bingaman, time, votes
Mr. Speaker|| aquatic, week, fight
Madam Speaker|| austin, reclamation, speaker
Mr. Speaker|| spend, billion, back
Mr. President|| 9:30, february, open
<|endoftext|>|| speaker, dame, text
Mr. President|| officer, staff, quartermaster
Mr. Speaker|| congress, halfway, southeast
Mr. President|| commission, corzine, health
<|endoftext|>|| president, americans, talking
Mr. Speaker|| world, families, deal
Mr. Speaker|| maryland, remarks, revise
Mr. President|| today, time, year
Mr. President|| disappointed, president, supported
Mr. Chairman|| act, islands, truth
Madam President|| conduct, resolution, attack
Mr. President|| requested, speak, requests
Mr. Chairman|| simply, budget, spending
<|endoftext|>|| subject, americans, policy
Mr. Chairman|| chairman, carolina, hinchey
Mr. President|| business, interior, meeting
Mr. Chairman|| friend, irrelevant, bottom
Mr. Speaker|| extend, senate, legislative
Mr. President|| bloom, people, senator
Mr. President|| vote, previous, provisions
Mr. Speaker|| speaker, maryland, distinguished
Mr. Speaker|| strike, squadron, reserve
<|endoftext|>|| bills, hour, act
Mr. President|| bob, kerrey, wall
<|endoftext|>|| control, improve, military
Mr. President|| amended, laid, table
Mr. President|| calendar, delegation, executive
Mr. Speaker|| speaker, robert, family
Mr. Speaker|| request, consent, maryland
Mr. President|| man, chinese, family
Mr. President|| reconciliation, act, president
Mr. Speaker|| violate, circuit, appeals
<|endoftext|>|| people, states, statement
Mr. Speaker|| yield, virginia, colleagues
Mr. Speaker|| feverishly, liberal, occurs
<|endoftext|>|| anticipatory, treaty, united
<|endoftext|>|| nominees, clinton, asked
Madam Chair|| level, madam, fort
<|endoftext|>|| overseas, president, gentleman
Madam President|| school, madam, august
Mr. Speaker|| budget, budgets, move
Mr. Speaker|| pro, minutes, unanimous
Mr. President|| law, employers, promises
Mr. Speaker|| competition, journey, talent
Mr. President|| eliminating, international, march
Mr. Speaker|| urge, closing, reunite
Mr. Speaker|| pro, motion, jersey
<|endoftext|>|| colin, precise, point
Mr. President|| control, president, leaders
Madam Speaker|| georgia, speaking, kingston
<|endoftext|>|| committee, kern, brings
<|endoftext|>|| gold, country, policy
<|endoftext|>|| paralysis, cell, statement
Mr. President|| understanding, acting, 2:15
Mr. Chairman|| keating, investors, corporation
Mr. Speaker|| americans, people, congress
Mr. Speaker|| system, speaker, promise
<|endoftext|>|| good, taylor, arizona
Mr. President|| rescind, finally, wyoming
<|endoftext|>|| relief, middle-class, surplus
<|endoftext|>|| fees, people, manager
Mr. Speaker|| season, silly, time
<|endoftext|>|| gentleman, express, respect
Mr. President|| state, canadian, seniors
Mr. President|| policies, delek, tibetans
<|endoftext|>|| states, america, federal
Mr. President|| cap, time, ships
Mr. President|| president, feinstein, agree
Mr. Speaker|| time, resolution, moakley
Mr. President|| committee, agreement, colleagues
Madam Speaker|| student, loan, higher
Mr. Chairman|| chairman, amendment, development
Mr. Speaker|| gentleman, revise, tempore
Mr. Speaker|| tax, surplus, budget
Mr. Speaker|| pro, proceedings, nays
Mr. Speaker|| gentleman, justice, youth
Madam Speaker|| tempore, heard, critical
Mr. Speaker|| rising, men, year
Mr. President|| test, efficient, senators
Mr. President|| state, budget, infrastructure
Mr. President|| art, budget, vermont
Mr. Chairman|| nation, resting, heroes
Mr. President|| anticipated, debate, unanimous
Mr. Speaker|| ahca, states, lose
Mr. President|| provisions, committee, flexibility
Mr. President|| johnston, aviation, language
<|endoftext|>|| business, time, continuously
Mr. Speaker|| control, state, committee
Madam Speaker|| education, act, rise
Mr. President|| process, resources, federal
Mr. Speaker|| set, corporate, signs
<|endoftext|>|| supply, cultural, senior
<|endoftext|>|| bill, madam, plan
Mr. President|| colleagues, manchin, joining
Mr. Speaker|| put, time, forward
<|endoftext|>|| revenue, opportunity, office
Mr. Speaker|| police, colleagues, firefighters
Mr. President|| national, reform, congress
<|endoftext|>|| point, yield, county
Madam Chair|| survey, homes, foundation
Mr. Speaker|| tax, gains, squarely
Mr. Speaker|| extend, revise, pro
Mr. Chairman|| tribal, simply, law
Madam President|| years, clear, congress
Mr. President|| family, legislation, policy
Mr. President|| distinguished, resolution, action
<|endoftext|>|| locomotive, things, maintained
<|endoftext|>|| david, baptist, love
Mr. President|| hard, express, laramie
Mr. Chairman|| workforce, approximately, lep
Mr. Chairman|| article, months, force
Mr. Speaker|| fewer, deficit, destroy
Mr. President|| arizona, seat, resolution
Madam Speaker|| columbia, americans, speaker
Mr. Speaker|| body, platform, concern
Mr. Speaker|| united, minnesota, germany
<|endoftext|>|| bush, nation, country
Mr. President|| senate, finance, vote
Mr. Chairman|| chairman, service, park
Mr. Chairman|| meadow, american, mouse
Madam Speaker|| commend, gentlewoman, point
Mr. Chairman|| aware, wars, differ
Mr. Speaker|| january, worldwide, wall
Mr. President|| education, adult, bill
Mr. President|| service, today, passing
Mr. Speaker|| matthew, message, sievert
Mr. President|| tuesday, respect, william
Mr. President|| reform, reforms, indiana
Mr. Speaker|| turkish, today, president
Mr. President|| buy, bill, mitchell
<|endoftext|>|| committee, members, blown
Mr. President|| reconsider, agreed, statements
Madam President|| promise, amendments, act
<|endoftext|>|| carried, funded, section
Mr. President|| tuesday, committee, unanimous
Mr. Speaker|| azerbaijan, bad, united
<|endoftext|>|| object, boxer, offered
Mr. Speaker|| record, unanimous, members
Mr. Speaker|| murdered, gentleman, terrorists
<|endoftext|>|| united, week, effort
Mr. President|| life, equities, companies
Mr. President|| resource, state, issue
Mr. Speaker|| tennessee, gentleman, suspend
<|endoftext|>|| crapo, track, chairman
<|endoftext|>|| majority, made, bill
<|endoftext|>|| heflin, interested, sides
Mr. Chairman|| prevention, programs, make
Mr. Chairman|| road, chairman, strongly
Mr. President|| spent, amount, billions
Mr. Speaker|| federal, open, thursday
Mr. Speaker|| mortgages, e-mail, wanted
<|endoftext|>|| wound, tpa, world
Mr. President|| columbia, noon, monday
<|endoftext|>|| democrats, committee, senator
Mr. Speaker|| minutes, resolution, leader
Mr. Speaker|| professional, colleagues, today
Mr. Speaker|| leadership, opportunity, joint
Mr. President|| debate, iraqis, president
Mr. Chairman|| human, life, services
Mr. Speaker|| rule, amendments, speaker
Mr. Speaker|| east, germany, violence
Mr. Speaker|| issued, reform, backward
Mr. Speaker|| indiana, max, strong
Madam President|| happen, waiting, consent
Mr. Speaker|| reasons, multinational, large
Mr. Speaker|| friend, maryland, time
Mr. Speaker|| gentleman, forward, congress
Mr. Speaker|| amendment, american, congress
<|endoftext|>|| explore, time, members
Madam Chairman|| institute, spent, years
<|endoftext|>|| find, authorized, made
Mr. Speaker|| act, native, peoples
Mr. President|| people, leader, federal
Mr. Speaker|| rapid, reduce, million
Mr. Speaker|| american, country, comprehensive
Madam Speaker|| lee, madam, congress
Mr. Speaker|| institutions, speaker, computer
<|endoftext|>|| approved, secretary, lakes
Mr. Speaker|| progress, people, iraq
Mr. Chairman|| pledge, time, declaration
Mr. Chairman|| taxpayer, ago, years
<|endoftext|>|| lease, involves, refer
<|endoftext|>|| senator, defendant, find
Mr. President|| representatives, bill, debates
Mr. President|| hero, efforts, driving
Mr. President|| debate, senate, happened
Mr. Speaker|| remaining, service, gentleman
Mr. Speaker|| suicide, sadly, speaker
Mr. Chairman|| california, abramowitz, york
Mr. Chairman|| absolutely, eliminate, rural
Madam Speaker|| wall, taxpayers, administration
Mr. President|| continuing, operation, conference
Mr. Chairman|| consent, chairman, opposition
Mr. Speaker|| tempore, close, gentlewoman
Mr. President|| february, president, past
<|endoftext|>|| brought, today, floor
Mr. President|| friend, senate, halls
<|endoftext|>|| electric, money, utility
Mr. Speaker|| consent, voting, electronic
<|endoftext|>|| americans, district, states
Madam President|| crisis, president, workers
Madam Speaker|| david, medicare, broder
Mr. President|| 4:16, september, objection
Mr. President|| citizens, americans, young
<|endoftext|>|| bill, subject, addressed
Mr. Speaker|| sacrifices, recovery, speaker
Mr. Speaker|| nation, united, school
Mr. President|| senate, consent, building
<|endoftext|>|| jobs, government, turn
Mr. Speaker|| week, speaker, state
<|endoftext|>|| gentleman, inquiries, recognize
Mr. Speaker|| valley, time, swan
Mr. President|| time, record, unanimous
Mr. Speaker|| exact, companies, higher
Mr. President|| served, matter, american
Mr. Chairman|| gas, loss, coverage
Mr. Speaker|| jobs, nation, designed
Mr. Speaker|| legislation, special, miller
<|endoftext|>|| previous, time, december
Mr. President. I was unavoidably detained and absent from the Senate on the evening of Thursday|| voting, record, october
Mr. Chairman|| jersey, wisconsin, ceiling
<|endoftext|>|| leads, unclosed, sought
Mr. President|| cbo, budget, agree
Mr. Speaker|| legislative, extraneous, unanimous
Mr. Speaker|| tax, congressional, raise
Mr. Speaker|| month, ota, honor
Mr. Speaker|| country, rise, auctions
<|endoftext|>|| frankly, constitution, asked
Mr. President|| courtesies, binding, difficult
<|endoftext|>|| rhode, post, desk
Mr. Speaker|| armenians, join, soldiers
Mr. Speaker|| yielding, children, rule
Mr. Speaker|| united, speaker, terrorism
Madam President|| thursday, work, understands
Mr. President|| served, tie, senior
Mr. Speaker|| agreed, yield, question
Mr. President|| republican, end, congress
Mr. President|| colleague, president, clear
<|endoftext|>|| high, billion, complete
Mr. President|| today, recess, seeking
<|endoftext|>|| mccollum, sudan, overthrow
<|endoftext|>|| obvious, challenges, game
<|endoftext|>|| colleagues, domenici, pete
Mr. Speaker|| improvised, phoenix, house
Mr. Speaker|| oklahoma, request, cosponsors
Mr. Speaker|| request, extraneous, members
Mr. Chairman|| rise, agreed, union
Mr. Speaker|| warfare, military, fellow
<|endoftext|>|| military, cuts, budget
Mr. President|| states, senator, president
Mr. Speaker|| backward, shays, increase
Mr. President|| intelligence, military, committees
Mr. Speaker|| high-profile, cochran, met
<|endoftext|>|| witness, subcommittee, ironically
Mr. Chairman|| hensarling, things, texas
Mr. Chairman|| playing, gentlewoman, district
Mr. President|| civic, rise, members
Mr. Speaker|| figure, distracted, police
Madam Speaker|| american, command, mission
Mr. Speaker|| harbor, speaker, house
<|endoftext|>|| put, country, states
Mr. Speaker|| days, special, jersey
<|endoftext|>|| history, shipyard, senator
Mr. President|| october, federal, president
Mr. Chairman|| plan, america, cuts
Mr. Speaker|| minority, reason, paygo
Mr. Speaker|| outcry, acknowledge, action
Mr. President|| illinois, year, permits
Mr. Speaker|| include, material, revise
<|endoftext|>|| obey, add, proposal
Mr. President|| energy, producing, high
Mr. Speaker|| federal, america, american
Mr. Speaker|| back, gentleman, continue
Mr. President|| obamacare, screening, women
Mr. President|| lifelong, week, president
Mr. President|| fund, secretary, introducing
Mr. Chair|| good, chair, water
Mr. President|| republican, week, doctors
<|endoftext|>|| understanding, utah, unanimous
Mr. Speaker|| smith, today, alfred
Mr. President|| food, country, fda
Mr. Speaker|| point, elections, minority
Mr. Speaker|| democrat, speaker, welfare
Mr. Speaker|| america, speaker, medical
Madam President|| day, morning, res
Mr. President|| commerce, president, october
