<|endoftext|>|| point, yield, agreement
Mr. President|| thought, understanding, minnesota
<|endoftext|>|| problems, modified, understand
Mr. Speaker|| treated, stem, speaker
<|endoftext|>|| life, riley, dean
<|endoftext|>|| invest, york, mother
<|endoftext|>|| people, money, point
Mr. Speaker|| history, planned, degette
Mr. Speaker|| county, boston, bartman
<|endoftext|>|| legislation, care, women
Madam President|| colleague, amendment, important
Mr. President|| president, act, state
Mr. Speaker|| mountain, nevada, science
<|endoftext|>|| day, committee, question
Madam President|| president, recess, concurrent
<|endoftext|>|| chair, zone, american
Mr. Speaker|| pass, motion, offered
Madam Speaker|| vicki, birthday, love
Mr. Speaker|| plan, house, democrats
Mr. Chairman|| rule, wildlife, congressional
Mr. President|| 2:30, entitled, permanent
Mr. Speaker|| record, members, speaker
Mr. President|| officer, reassembled, recess
Mr. President|| award, medal, safety
Mr. President|| join, senator, president
Mr. Speaker|| development, majority, allowing
<|endoftext|>|| island, tempore, children
Mr. Speaker|| firearm, bill, banning
Mr. Speaker|| federal, report, communities
Mr. President|| david, president, friend
Mr. Speaker|| representatives, happy, sponsor
Mr. Chair|| amendment, colleague, nonproliferation
<|endoftext|>|| walz, states, freedom
<|endoftext|>|| war, stop, environmentalists
Mr. President|| income, year, middle-class
Mr. President|| education, springfield, quality
<|endoftext|>|| balance, states, mentioned
Mr. President|| working, banks, group
Mr. Speaker|| united, reclamation, state
<|endoftext|>|| senate, time, served
Mr. President|| short, orchard, pacific
Mr. Chairman|| including, council, clarify
Mr. Speaker|| gentlewoman, leadership, abuse
Madam Chair|| income, consideration, energy
Mr. President|| massachusetts, warner, robb
Mr. President|| passed, table, reconsider
Mr. Chairman|| frills, today, prison
<|endoftext|>|| interrupt, inception, medicare
Mr. Speaker|| time, exceed, speaker
Madam Speaker|| gentleman, request, consent
<|endoftext|>|| consideration, affairs, minute
Mr. Speaker|| rural, congress, government
<|endoftext|>|| create, years, speaker
Mr. President|| murray, point, amendments
<|endoftext|>|| amendment, senate, cole
Mr. Chairman|| colleagues, support, acting
Mr. President|| change, heard, sense
<|endoftext|>|| senator, facts, vote
Madam Speaker|| house, members, motion
Mr. President|| hatfield, president, biomedical
Mr. Speaker|| health, resolution, bill
Mr. Speaker|| america, proud, earlier
Mr. President|| significant, statement, embodies
Mr. Speaker|| west, call, lee
Mr. Speaker|| extend, extraneous, legislation
Mr. Speaker|| tennessee, consume, norton
<|endoftext|>|| implement, good, programs
Mr. President|| senator, united, national
Mr. President|| close, share, march
Mr. Speaker|| spend, simple, clinton
Mr. Speaker|| days, objection, speaker
Mr. Speaker|| area, popular, speaker
Mr. Speaker|| pro, point, make
<|endoftext|>|| bill, consideration, interior
Madam Speaker|| walter, returning, homecoming
Mr. President|| officer, extremists, muslims
Mr. Chairman|| american, rise, fish
Mr. Speaker|| full, university, massachusetts
Mr. Chairman|| coast, interdiction, florida
Mr. President|| promise, 10:30, consent
Mr. Chairman|| education, opposition, neh
<|endoftext|>|| understand, states, clark
Mr. Speaker|| pursuant, agreeing, ayes
Mr. President|| amendment, president, government
Mr. President|| states, graham, house
<|endoftext|>|| awards, labor-management, fast
Mr. Speaker|| unanimous, time, control
Madam President|| unanimous, form, amendments
Mr. Speaker|| process, baucus, bill
<|endoftext|>|| yield, house, environmental
<|endoftext|>|| speak, amendment, snowe
Mr. Speaker|| income, good, state
<|endoftext|>|| access, virgin, mental
Mr. Chairman|| park, land, numbers
Madam Speaker|| express, madam, heartfelt
Madam President|| congress, acorn, president
<|endoftext|>|| sound, cut, economic
Mr. Speaker|| legislative, members, pro
Mr. President|| school, military, graduate
Mr. President|| repeal, made, vote
<|endoftext|>|| assistance, dealing, projects
Madam President|| president, madam, miguel
Madam Speaker|| afford, john, lost
Mr. Chairman|| louisiana, accept, printed
Mr. Speaker|| positive, america, weeps
Mr. Speaker|| carolina, great, guard
Mr. Speaker|| congress, constitution, authority
Madam Speaker|| entitlements, tax, madam
Mr. President|| yielding, observant, years
Madam President|| surplus, members, amendment
Mr. President|| president, conservation, northwest
Mr. Franks|| benefits, welfare, children
Mr. Speaker|| courthouse, yield, fbi
Mr. Speaker|| pits, program, patriots
Mr. Speaker|| creating, voting, member
Mr. Speaker|| physicians, washington, hospitals
Mr. President|| committee, made, armed
Mr. Speaker|| nice, computer, bill
Mr. Speaker|| support, nuclear, today
Mr. Speaker|| fewer, winners, told
Mr. President|| university, seventh, appeals
<|endoftext|>|| jobs, work, senate
<|endoftext|>|| senator, students, save
Mr. Speaker|| speaker, tempore, yield
Mr. Speaker|| objection, consent, revise
Mr. Speaker|| lost, cannon, congress
Madam Speaker|| child, beds, congress
Mr. Speaker|| collect, service, speaker
Mr. Speaker|| securities, bipartisan, protect
Mr. Speaker|| extensively, speaker, bill
Mr. Chairman|| pentagon, progress, care
Mr. Chairman|| federal, nation, nixon
Mr. President|| issue, important, body
Mr. President|| family, ronald, disease
Mr. Speaker|| people, businesses, savings
Mr. President|| states, jobs, year
Mr. President|| laid, passed, record
Mr. Speaker|| medicare, businesses, country
Mr. President|| senators, reforming, future
Mr. President|| specifically, congress, american
Madam President|| signs, pending, president
<|endoftext|>|| answer, economists, jobs
Mr. President|| community, state, downtown
Mr. President|| fact, minutes, key
Mr. President|| senator, office, montana
Mr. President|| colleague, committee, pending
Mr. Speaker|| ideas, people, reforms
<|endoftext|>|| stimulus, debate, talk
Madam Chairman|| pump, gas, actions
Mr. Speaker|| secretary, frederica, speaker
<|endoftext|>|| webster, tonight, stories
Mr. Speaker|| policy, left, tax
Madam Speaker|| american, spending, raise
Mr. Speaker|| make, point, remaining
Mr. Speaker|| president, month, women
<|endoftext|>|| point, gentleman, stations
Mr. Speaker|| recognizes, district, commission
Mr. Chairman|| federal, fiscal, vice
<|endoftext|>|| ohio, for-profit, government
Mr. President|| hard, western, today
Mr. Speaker|| secure, rise, law
<|endoftext|>|| billion, back, make
Mr. Speaker|| move, speaker, adjourn
Mr. President|| president, american, owned
Mr. Speaker|| political, suu, kyi
Mr. Speaker|| midnight, tempore, purposes
Madam Speaker|| working, work, time
Mr. President|| air, aiken, place
Mr. Speaker|| relief, columbus, irs
Mr. Speaker|| vote, debate, budget
Mr. President|| states, acting, welles
Mr. President|| proceed, amended, vitter
Mr. Speaker|| constitution, states, act
<|endoftext|>|| correct, temperatures, testing
Madam Speaker|| country, secretary, funding
Mr. Speaker|| americans, pleased, forward
<|endoftext|>|| join, drugs, federal
Mr. Speaker|| speaker, members, legislative
Mr. President|| relevant, operator, colloquy
Mr. Speaker|| qaeda, terrorist, regional
<|endoftext|>|| repairing, nation, billion
Mr. Chairman|| return, amendment, chairman
Mr. Speaker|| congress, proud, israel
<|endoftext|>|| books, issue, poor
Mr. Speaker|| world, war, talker
Mr. Speaker|| motion, congress, house
Mr. President|| yield, lay, set
Mr. Speaker|| rate, year, rule
Mr. President|| days, delays, environment
<|endoftext|>|| security, immigration, naked
Madam President|| chet, true, madam
Mr. Speaker|| house, majority, mexico
Mr. President|| department, explorer, acadia
Madam President|| congress, request, straight
<|endoftext|>|| original, reductions, bill
Mr. Speaker|| quorum, speaker, pursuant
Madam Speaker|| congress, authorization, intelligence
Mr. Chairman|| byrne, yielding, portion
Mr. Speaker|| include, pro, material
<|endoftext|>|| carolina, citizens, plan
Mr. Speaker|| pending, yielded, purpose
Mr. Chairman|| sand, spoke, texas
Mr. President|| african, malawi, president
Mr. President|| legislation, john, defense
Madam Speaker|| pro, extend, members
Madam Speaker|| today, paid, roughly
Mr. Chairman|| prepublication, citations, register
Madam Chair|| colleague, urge, schock
Mr. Speaker|| virgin, congress, member
Mr. President|| american, carlos, arlington
Mr. President|| today, understand, bill
Madam President|| minutes, president, senate
Madam Speaker|| speaker, gentlewoman, request
Madam Chairman|| timber, clearcuts, bryant
Mr. President|| world, balance, congress
Mr. President|| consent, act, labor
<|endoftext|>|| people, fact, careers
Mr. Speaker|| politics, stand, men
Mr. Speaker|| passed, washington, long
Mr. Chairman|| cambodia, united, international
Mr. President|| president, states, leader
Madam Speaker|| state, decades, community
<|endoftext|>|| ezra, important, involved
Mr. Chairman|| deposit, person, amendment
Mr. Speaker|| onions, protection, lithuania
Mr. Chair|| house, foundation, board
Mr. President|| president, farmers, farms
<|endoftext|>|| found, house, months
Mr. Chair|| hearings, corps, border
Mr. President|| states, unanimous, constituents
Mr. Chairman|| amendment, christi, illinois
Mr. President|| percent, air, superintendents
<|endoftext|>|| senate, availability, capital
Mr. Speaker|| proportionate, greater, important
Madam Speaker|| ahead, bills, washington
Mr. President|| chairman, life, hugoton
Mr. Speaker|| debate, real, terrorists
Mr. President|| enforcement, administration, country
Mr. Speaker|| state, opposition, california
Mr. Chairman|| research, orbit, multiple
<|endoftext|>|| connecticut, care, brown
Mr. Speaker|| chairman, florida, appropriations
<|endoftext|>|| atom, american, student
Mr. President|| working, thursday, stevens
Mr. Speaker|| children, legislation, gentleman
Mr. Chairman|| chairman, time, store
Mr. President|| edwards, missouri, tremendous
<|endoftext|>|| civil, bill, federal
Madam Speaker|| congress, months, weeks
<|endoftext|>|| gentleman, res, suspend
Mr. Speaker|| year, program, billion
Mr. President|| intervening, unanimous, table
Mr. President|| time, louisiana, discussed
Mr. Speaker|| pay, district, aisle
<|endoftext|>|| kentucky, illinois, georgia
Mr. President|| governor, issue, alaska
<|endoftext|>|| honorable, hoyer, give
<|endoftext|>|| auto, absolutely, budget
Mr. Chairman|| chairman, collective, people
<|endoftext|>|| amendment, quorum, majority
<|endoftext|>|| hoyer, list, rapidly
Mr. President|| resolution, martinez, demint
Mr. President|| mine, make, miners
Mr. Speaker|| square, speaker, baghdad
Mr. Speaker|| beautiful, understand, complex
Mr. President|| burgess, service, served
Mr. Chairman|| colloquy, missile, distinguished
Mr. Speaker|| budget, amendment, congressional
Mr. Chairman|| navy, trident, citizens
Mr. Speaker|| republicans, design, plan
Mr. Speaker|| provo, years, speaker
Mr. Speaker|| time, indiana, system
Mr. President|| senator, officer, 2:15
<|endoftext|>|| commitment, states, additional
Mr. President|| money, services, senate
Mr. President|| home, senate, americans
Mr. President|| year, president, concerns
Mr. President|| dod, report, office
<|endoftext|>|| requires, act, time
Madam Speaker|| federal, heading, honored
Mr. Speaker|| aware, arkansas, objection
Mr. Speaker|| people, rule, leadership
Mr. President|| billion, month, utah
Mr. Speaker|| happened, camp, base
Mr. President|| global, receiving, column
Mr. Chairman|| time, flaws, firearms
Mr. President|| people, deeply, body
<|endoftext|>|| lot, fema, homeowners
<|endoftext|>|| republicans, room, move
Mr. President|| day, highway, forest
<|endoftext|>|| comments, higher, acting
Mr. Chairman|| chairman, today, chamber
Mr. Speaker|| violence, act, care
Madam Speaker|| chuck, golden, house
<|endoftext|>|| companies, floor, nongovernment
Mr. President|| president, representatives, commonwealth
Mr. President. I rise to support the nomination of Mark Kravitz|| united, lawyers, school
Mr. President|| court, management, action
Madam Speaker|| miller, california, question
<|endoftext|>|| conference, difficult, optimistic
<|endoftext|>|| prepared, preclude, understand
Mr. Chairman|| washington, chairman, state
<|endoftext|>|| citizen, invest, corporations
Mr. Speaker|| people, secretary, carpet
Mr. President|| urge, senator, president
Mr. Speaker|| ago, countries, bill
Mr. President|| code, tax, revenue
Mr. President|| congratulate, high, senate
Mr. President|| briefly, agreement, bill
Mr. Chairman|| gentleman, work, debt
Mr. President|| national, union, organizing
<|endoftext|>|| paper, o'clock, blackburn
Mr. President|| debate, americans, government
Mr. President|| personnel, amendment, technical
Mr. President|| share, nominations, president
<|endoftext|>|| senate, resolution, percent
Mr. President|| baldwin, national, company
<|endoftext|>|| intervening, motions, time
<|endoftext|>|| small, amendment, publication
Mr. President|| korean, queens, post
Mr. Speaker|| motion, florida, amended
Mr. Speaker|| motion, time, amended
Mr. President|| senate, food, agriculture
Mr. Speaker|| announce, friday, scheduled
<|endoftext|>|| thing, senate, today
<|endoftext|>|| volunteers, defined, baseball
Madam President|| office, women, small
Madam Speaker|| support, yield, unbelievable
Mr. Chairman|| defense, background, voltaire
Mr. President|| floor, day, record
Madam Chairman|| taxpayers, private, percent
Mr. Speaker|| park, place, gentleman
Mr. Speaker|| brookhart, antarctic, navy
<|endoftext|>|| court, reaffirm, intention
Mr. President|| 7:01, senate, previous
Madam Speaker|| temporary, grants, speaker
Mr. Speaker|| expressing, pursuant, sense
Mr. Speaker|| chair, tempore, proceedings
Mr. President|| river, great, mary
Mr. Speaker|| sixteenth, congressional, church
<|endoftext|>|| proceed, motion, recognized
Mr. President|| unfunded, standards, states
Mr. President|| original, year, act
Mr. President|| percent, grant, suggest
Mr. Speaker|| consideration, vote, tempore
Mr. Speaker|| strolling, sky, speaker
Mr. President|| bill, rocket, launch
Mr. Chairman|| today, york, gentleman
<|endoftext|>|| manager, understand, bill
Mr. President|| made, constitutional, matters
Mr. Speaker|| members, saddam, house
Madam Chairman|| time, lifespan, years
Mr. President|| adopted, requirement, states
Mr. President|| time, president, offered
<|endoftext|>|| senator, expenditures, expended
<|endoftext|>|| oxide, yield, transport
<|endoftext|>|| provide, stivers, health
<|endoftext|>|| agreed, amended, coons
Mr. Chairman|| fact, abercrombie, excellent
Mr. Speaker|| enlisted, naval, father
<|endoftext|>|| limit, remain, exchange
<|endoftext|>|| remember, republican, senator
Mr. Speaker|| hern, great, newest
Mr. President|| president, manager, floor
<|endoftext|>|| chair, reclaiming, aig
Mr. President|| amendment, reaction, congress
Mr. President|| billion, local, votes
Mr. President|| president, legislation, debt
Mr. Speaker|| hours, speaker, portman
<|endoftext|>|| travel, rule, air
Mr. President|| income, state, washington
Mr. Chairman|| lot, months, member
<|endoftext|>|| immediately, nos, bills
Mr. President|| battlefield, president, civil
<|endoftext|>|| time, alaska, issue
Madam Speaker|| legislation, surveillance, congressional
Mr. Speaker|| conferees, instruct, speaker
Mr. President|| states, terrorist, plan
Mr. Chairman|| head, quality, start
<|endoftext|>|| act, problem, retain
Mr. Speaker|| speaker, left, allowed
Mr. Speaker|| programs, years, study
Mr. Chairman|| respond, time, high
Mr. President|| reconsider, president, record
Madam Chair|| chair, madam, unanimous
Mr. President|| criminals, policy, pleased
Mr. Speaker|| time, res, pets
<|endoftext|>|| president, programs, activity
Mr. President|| bill, america, order
Mr. Speaker|| washington, ahead, open
Mr. Speaker|| speaker, unjust, strongest
Mr. President|| senate, ensure, people
Mr. Speaker|| criminal, homeland, accountability
Mr. President|| gregg, comment, offered
<|endoftext|>|| matter, guess, appointment
Madam President|| decision, executive, move
Mr. Speaker|| lands, chairman, federal
Mr. Speaker|| environs, continue, fortunate
Mr. Speaker|| aisle, afraid, talking
Mr. Speaker|| american, business, week
Madam Speaker|| fleet, anniversary, shipyard
<|endoftext|>|| purpose, americans, deal
Mr. Speaker|| yield, friend, hall
<|endoftext|>|| require, craig, amendment
Mr. Speaker|| committee, fema, federal
Mr. Speaker|| record, long, oil
Mr. Chairman|| members, called, side
Mr. Speaker|| tax, time, balance
Mr. President|| land, water, public
Mr. President|| distinguished, oklahoma, evening
Mr. Speaker|| children, balance, honest
Mr. President|| rise, hiv, global
Mr. Speaker|| countries, transactions, financial
Mr. Speaker|| records, integrity, gonzalez
Mr. Chairman|| gentleman, top, yield
Mr. Chairman|| time, transportation, effective
Mr. Speaker|| solutions, government, speaker
Mr. President|| colloquy, minutes, begin
Mr. Speaker|| employees, colleagues, inclusive
Mr. Speaker|| producers, tax, colleague
Mr. President|| resolution, members, report
Mr. Speaker|| house, gentleman, broad
<|endoftext|>|| issues, deeply, gift
Mr. Speaker|| speaker, americans, week
Mr. Chairman|| prescribing, estimated, stress
Mr. Chairman|| missile, judgment, professionals
Mr. President|| percent, economic, act
Mr. President|| servicemembers, army, afghanistan
Mr. President|| added, mississippi, bill
Mr. Chairman|| oak, budget, basic
Madam President|| president, young, current
Mr. President|| postal, campbell, conferees
<|endoftext|>|| lives, california, coast
Mr. President|| grow, good, society
<|endoftext|>|| heroic, colleague, vote
<|endoftext|>|| create, governors, military
<|endoftext|>|| program, year, familiar
Madam Speaker|| law, states, surveillance
Mr. Speaker|| chairman, congress, lobiondo
Mr. President|| stem, percent, missouri
Mr. President|| office, million, staff
Mr. Speaker|| percent, aliens, big
Mr. President|| bill, senator, businesses
<|endoftext|>|| american, bill, years
Madam President|| opened, stormed, shooting
Mr. President|| security, clear, congress
Mr. Chairman|| policy, amendment, torture
<|endoftext|>|| today, problem, judiciary
Mr. Speaker|| good, sam, working
Mr. President|| finance, senator, states
Mr. President|| time, tuesday, motion
<|endoftext|>|| brought, house, time
<|endoftext|>|| small, economy, big
Mr. Chairman|| property, deals, illegally
<|endoftext|>|| proposes, amendment, acting
Mr. President|| made, adjournment, board
Mr. President|| president, senate, security
Mr. President|| nuclear, military, yesterday
Mr. President|| needed, billion, year
Mr. President|| presentation, senator, effort
<|endoftext|>|| forces, secure, kurds
<|endoftext|>|| talked, forces, military
Madam President|| effect, senate, voting
Mr. President|| john, honorable, immigration
Mr. Speaker|| hobson, nation, member
Mr. Speaker|| millions, budget, make
Mr. Speaker|| time, chairman, make
Madam President|| syrian, plain, amendment
<|endoftext|>|| upper, difficult, percent
Mr. President|| albuquerque, important, addresses
<|endoftext|>|| america, jobs, fiscal
Mr. Speaker|| thing, dyer, florida
<|endoftext|>|| community, concluded, respond
Mr. President|| managed, group, distinguished
Mr. President|| feinstein, senator, makes
Mr. President|| american, passed, defense
<|endoftext|>|| spoken, vermont, agenda
Mr. Speaker|| hezbollah, syria, giving
Mr. President|| president, consent, governmental
Mr. Speaker|| resources, friend, fight
Mr. Speaker|| colleagues, continue, budget
Mr. Speaker|| victim, month, speaker
Mr. Speaker|| treated, care, conditions
Mr. Speaker|| democrat, yield, republican
Madam Speaker|| decades, catastrophic, geithner
Mr. Speaker|| house, whitewater, democrat
Madam Chair|| act, fbi, default
Mr. President|| school, county, president
Mr. Speaker|| minute, zika, requirement
Madam President|| hopeful, speak, hour
<|endoftext|>|| called, make, iron
Mr. Speaker|| trespass, vote, voted
<|endoftext|>|| sundays, work, concerns
Madam Chairman|| dollars, teachers, sponsor
Madam Speaker|| riders, roosevelt, speaker
Mr. President|| provision, hearings, debate
Madam Chair|| gentleman, missouri, madam
Mr. Chairman|| amendment, funds, fund
<|endoftext|>|| authorities, friend, analysis
Mr. Speaker|| tonight, evening, commend
Mr. President|| mcgee, march, pursuit
Mr. Speaker|| sites, veterans, gentleman
<|endoftext|>|| making, yield, state
<|endoftext|>|| columbia, urge, remainder
Mr. Chair|| unilateral, amendment, constitution
Mr. President|| president, student, marketing
<|endoftext|>|| bailout, work, businesses
Mr. Speaker|| requests, blue, balance
Mr. President|| high, state, university
Mr. President|| state, amendment, president
Mr. Speaker|| days, meehan, report
Madam President|| exchange, nevada, market
Mr. President|| commission, holiday, life
Mr. President|| unanimous, occur, report
Mr. President|| original, parity, colleague
Mr. Speaker and my colleagues|| government, house, bill
Mr. Chairman|| good, amendment, state
Mr. Speaker|| consume, management, center
Mr. Speaker|| deficit, today, speaker
Mr. President|| fund, guard, president
Mr. Speaker|| speak, couple, rule
<|endoftext|>|| nelson, today, give
Mr. Speaker|| bill, members, remarks
Mr. Speaker|| money, flexibility, government
Mr. President|| year, championship, finest
Mr. Speaker|| amendment, cuts, give
Madam Speaker|| honor, anniversary, terrible
<|endoftext|>|| turn, danger, kind
<|endoftext|>|| person, final, house
Mr. Chairman|| system, officers, tso
Mr. Speaker|| speaker, interest, children
Mr. Speaker|| terrorist, work, close
Mr. President|| american, americans, system
Mr. President|| impose, landmines, vigorously
<|endoftext|>|| projects, page, dollars
Madam President|| specter, attorney, thursday
<|endoftext|>|| president, ohio, doctor
Mr. Speaker|| legislation, reported, waives
Mr. Speaker|| noon, minutes, adjourn
Mr. President|| financial, freddie, savings
Mr. Speaker|| motion, colleagues, speaker
<|endoftext|>|| senator, couple, majority
Mr. Chairman|| debate, chairman, programs
<|endoftext|>|| sector, fair, comply
<|endoftext|>|| work, night, happy
<|endoftext|>|| neighborhood, housing, senator
Mr. Speaker|| conversation, hand, reclaiming
Mr. Speaker|| deserves, senior, security
Mr. President|| helpful, knowledgeable, committee
Mr. President|| democratic, insurance, americans
Mr. President|| transportation, robert, halstead
Mr. President|| view, turn, offered
Mr. President|| united, sewage, asian
<|endoftext|>|| talked, rules, answer
<|endoftext|>|| inquiry, tempore, bring
<|endoftext|>|| hawks, spending, reasons
Mr. Chairman|| contractors, money, branch
<|endoftext|>|| tempore, offered, president
Mr. Speaker|| work, committee, plan
Mr. President|| iraq, division, performed
<|endoftext|>|| well-understood, wages, employers
<|endoftext|>|| sad, time, government
<|endoftext|>|| bill, white, opposed
<|endoftext|>|| state, virginia, mine
Mr. President|| defense, issues, president
Mr. President|| huntsville, operations, space
Madam Speaker|| men, join, colleagues
<|endoftext|>|| employment, percent, bill
Madam President|| repeat, side, great
Mr. Chair|| duty, honor, house
Mr. Speaker|| rule, opposition, system
<|endoftext|>|| united, major, cartel
<|endoftext|>|| job, people, words
Mr. President|| record, unanimous, bill
Mr. President|| hill, community, congressional
Mr. President|| chamber, period, tonight
Mr. President|| current, subcommittee, authorized
Mr. President|| wrote, bradley, examined
<|endoftext|>|| coverage, american, costs
Madam President|| tim, scott, madam
Mr. Speaker|| honor, naval, today
Mr. President|| thursday, completes, business
Mr. Speaker|| house, commerce, speaker
Mr. President|| significance, protection, chair
Mr. President|| nation, packages, list
Mr. President|| calling, reduction, incentive
Madam Speaker|| protect, people, convention
Mr. President|| committee, hearing, affairs
Mr. Speaker|| ideals, accept, share
<|endoftext|>|| commemorate, times, tomorrow
<|endoftext|>|| comments, dentists, treated
Mr. President|| beginning, president, hearing
Mr. President|| health, pittsburgh, constituents
Madam President|| feel, question, year
<|endoftext|>|| cleared, senator, agreement
Mr. Speaker|| programs, speaker, cuts
Madam President|| equally, desk, senate
Mr. Speaker|| balance, hope, committees
<|endoftext|>|| americans, rest, big
Mr. Chairman|| indiana, move, blackhawk
Mr. Speaker|| reauthorization, reform, speaker
<|endoftext|>|| longer, mike, speak
Madam President|| blm, babbitt, price
Madam President|| fraud, republican, destroy
Mr. Speaker|| agency, jerry, burton
Mr. Speaker|| nations, marrakesh, tomorrow
Mr. President|| aviation, years, pilot
Madam Speaker|| iraq, madam, surge
Mr. Chairman|| gentleman, intended, people
<|endoftext|>|| interpreted, absolutely, speaker
Mr. Speaker|| friend, speaker, california
Madam President|| distinction, president, robert
Mr. Speaker|| virginia, coins, design
<|endoftext|>|| manage, floor, timber
Mr. President|| understanding, senator, crime
<|endoftext|>|| number, proceed, closest
<|endoftext|>|| president, speak, amendment
Mr. President|| judges, judge, case
<|endoftext|>|| tale, spent, back
Madam Speaker|| april, order, republican
Mr. President|| sasser, people, state
Mr. Speaker|| floor, product, good
Mr. President|| president, independent, american
Mr. Speaker I yield myself such time as I may consume.  I was going to wait until the very end to respond|| ranking, time, pombo
Madam President|| minority, finally, number
Mr. President|| consent, hart, unanimous
Mr. Chairman|| job, tax, concerned
Mr. Speaker|| obama, consumers, energy
Mr. Speaker|| broken, ideas, spending
Mr. Chairman|| program, authorization, appropriations
Madam Speaker|| drug, insulin, priority
Mr. Chairman|| crime, put, children
Madam Speaker|| death, put, country
<|endoftext|>|| understand, bovine, taking
Mr. Speaker|| objection, extraneous, material
<|endoftext|>|| problem, gentleman, decisionmaking
<|endoftext|>|| side, interrupt, member
Mr. President|| program, agriculture, programs
Mr. President|| amendment, security, legislative
Mr. President|| laid, resolution, intervening
Mr. Chairman|| honest, copayment, gentleman
Mr. Speaker|| cross, disaster, bill
Mr. Speaker|| critical, chairman, information
Mr. Chairman|| gentleman, chairman, companies
Mr. President|| credit, small, jobs
Mr. President|| daschle, balanced, reduce
<|endoftext|>|| hearings, locked, committee
<|endoftext|>|| amendment, national, issue
<|endoftext|>|| rising, behalf, prescription
Mr. President|| question, anniversary, leave
Mr. President|| level, revenues, congressional
<|endoftext|>|| veto, order, states
Mr. President|| negotiations, states, craig
Madam President|| farmers, natural, montana
Madam Speaker|| health, legislation, bill
<|endoftext|>|| earth, medicare, senate
<|endoftext|>|| tonight, produce, land
Mr. Speaker|| oversight, government, committee
Mr. President|| unanimous, passed, record
Mr. President|| act, vegetable, president
<|endoftext|>|| offered, balance, question
Mr. President|| sikhism, sikh, holiday
Madam Speaker|| tempore, madam, clause
Mr. Speaker|| stop, comma, army
<|endoftext|>|| cost, bankrupting, quo
<|endoftext|>|| bank, branching, concerns
Mr. President|| senate, america, feinstein
Mr. Speaker|| florida, years, expertise
Mr. President|| farmers, government, ranchers
Mr. Speaker|| bipartisan, worked, easy
Mr. Chairman|| veterans, chairman, wars
<|endoftext|>|| budgets, discretionary, president
<|endoftext|>|| moved, order, airports
Mr. Speaker|| consume, adopted, made
Mr. Chairman|| amendment, checked, personally
Mr. Speaker|| california, connie, sonny
Mr. President|| unanimous, natural, office
<|endoftext|>|| jody, lived, courage
<|endoftext|>|| consideration, yield, debate
<|endoftext|>|| expand, thousands, truck
Mr. President. I am pleased today to introduce in the Senate|| senator, iraq, forces
<|endoftext|>|| government, trillion, began
<|endoftext|>|| loan, fha, loans
Mr. Speaker|| include, remarks, consent
Mr. President|| senate, committee, vincent
Mr. President|| president, information, preservation
Mr. Chairman|| amendment, chairman, strong
Mr. President|| memorial, country, nation
<|endoftext|>|| president, states, science
Mr. President|| items, votes, previous
Mr. Speaker|| enforcement, today, night
<|endoftext|>|| balanced, sides, budget
Mr. President|| safe, president, language
<|endoftext|>|| interest, house, lots
<|endoftext|>|| encourage, belief, support
Madam President|| spy, yesterday, spending
<|endoftext|>|| legislation, world, agency
<|endoftext|>|| respond, object, minute
<|endoftext|>|| hope, made, issue
<|endoftext|>|| care, health, major
<|endoftext|>|| bill, jobs, big
Mr. President|| senators, mexico, utility
Mr. President|| dodd, desk, senator
Mr. President|| virginia, southern, region
<|endoftext|>|| philadelphia, secretary, brother
<|endoftext|>|| government, office, friend
Madam Chair|| government, workforce, care
Mr. President|| bad, senator, farming
Mr. Chairman|| selective, california, states
Mr. Chair|| office, chair, support
Mr. Speaker|| united, public, consideration
Mr. President|| class, football, mexico
Mr. Speaker|| irs, yield, federal
<|endoftext|>|| country, make, cut
Mr. President|| voted, absent, vote
Mr. Speaker|| family, states, service
Mr. Chair|| put, chairwoman, trafficking
<|endoftext|>|| information, made, committee
<|endoftext|>|| americans, bill, talking
Mr. Chairman|| services, education, vote
Mr. Chairman|| program, bill, subcommittee
Mr. President|| guns, report, dealers
Mr. Speaker|| men, day, american
<|endoftext|>|| cooperation, working, record
<|endoftext|>|| included, subcommittee, months
<|endoftext|>|| requests, pieces, carolina
<|endoftext|>|| milton, half, securities
Mr. Speaker|| waiving, important, speaker
Mr. President|| services, price, rates
Mr. President|| david, senator, secretary
Mr. Speaker|| unemployed, job, speak
<|endoftext|>|| point, body, day
Mr. Chairman|| working, finding, externalities
Mr. President|| bill, studies, disease
Mr. Speaker|| speaker, yielding, levinson
Madam President|| madam, care, insurance
<|endoftext|>|| bill, evacuating, question
Mr. Speaker|| gentleman, legislative, remarks
Mr. Speaker|| elections, preparations, iraqis
<|endoftext|>|| persistent, moments, recall
Mr. Chairman|| funds, states, bill
Mr. President|| tennessee, tax, fuel
Mr. Chairman|| chairman, maintained, compliment
<|endoftext|>|| governor, state, socialistic
Mr. President|| changed, delighted, trip
Mr. President|| day, menendez, country
Mr. Speaker|| today, eden, pastor
Mr. President|| government, downpayment, provision
<|endoftext|>|| minutes, make, senator
Mr. Speaker|| house, gentleman, report
Mr. Speaker|| frankly, act, employers
Mr. President|| time, levin, request
Madam Chairman|| tourism, bush, communities
Mr. Speaker|| yield, north, mrs.
Madam Speaker|| rise, house, transportation
Mr. President|| chesapeake, today, state
Mr. Speaker|| schools, bill, children
Madam President|| madam, overlook, commend
Mr. President|| authorized, biological, unanimous
